NO,TextOnThisLaw
328,ถ้าความผิดฐานหมิ่นประมาทได้กระทำโดยการโฆษณา ด้วยเอกสาร ภาพวาด ภาพระบายสี ภาพยนตร์ ภาพหรือตัวอักษรที่ ทำให้ปรากฏด้วยวิธีใด ๆ แผ่นเสียง หรือสิ่งบันทึกเสียง บันทึกภาพ หรือบันทึกอักษร กระทำโดยการกระจายเสียง หรือการกระจายภาพ หรือโดยกระทำการป่าวประกาศด้วยวิธีอื่น ผู้กระทำต้องระวางโทษ จำคุกไม่เกินสองปีและปรับไม่เกินสองแสนบาท
334,ผู้ใดเอาทรัพย์ของผู้อื่น หรือที่ผู้อื่นเป็นเจ้าของรวม อยู่ด้วยไปโดยทุจริต ผู้นั้นกระทำความผิดฐานลักทรัพย์ ต้องระวาง โทษจำคุกไม่เกินสามปี และปรับไม่เกินหกพันบาท
335,ผู้ใดลักทรัพย์
335(1),ผู้ใดลักทรัพย์ ในเวลากลางคืน
335(2),ผู้ใดลักทรัพย์ ในที่หรือบริเวณที่มีเหตุเพลิงไหม้ การระเบิด อุทกภัย หรือ ในที่หรือบริเวณที่มีอุบัติเหตุ เหตุทุกขภัยแก่รถไฟ หรือยานพาหนะ อื่นที่ประชาชนโดยสาร หรือภัยพิบัติอื่นทำนองเดียวกันหรืออาศัย โอกาสที่มีเหตุเช่นว่านั้น หรืออาศัยโอกาสที่ประชาชนกำลังตื่นกลัว ภยันตรายใด ๆ
335(3),ผู้ใดลักทรัพย์ โดยทำอันตรายสิ่งกีดกั้นสำหรับคุ้มครองบุคคลหรือทรัพย์ หรือโดยผ่านสิ่งเช่นว่านั้นเข้าไปด้วยประการใด ๆ
335(4),ผู้ใดลักทรัพย์ โดยเข้าทางช่องทางซึ่งได้ทำขึ้นโดยไม่ได้จำนงให้เป็นทาง คนเข้า หรือเข้าทางช่องทางซึ่งผู้เป็นใจเปิดไว้ให้
335(5),ผู้ใดลักทรัพย์ โดยแปลงตัวหรือปลอมตัวเป็นผู้อื่น มอมหน้าหรือทำด้วย ประการอื่นเพื่อไม่ให้เห็นหรือจำหน้าได้
335(6),ผู้ใดลักทรัพย์ โดยลวงว่าเป็นเจ้าพนักงาน
335(7),ผู้ใดลักทรัพย์ โดยมีอาวุธ หรือโดยร่วมกระทำความผิดด้วยกันตั้งแต่สอง คนขึ้นไป
335(8),ผู้ใดลักทรัพย์ ในเคหสถาน สถานที่ราชการหรือสถานที่ที่จัดไว้เพื่อให้ บริการสาธารณที่ตนได้เข้าไปโดยไม่ได้รับอนุญาต หรือซ่อนตัวอยู่ ในสถานที่นั้น ๆ
335(9),ผู้ใดลักทรัพย์ ในสถานที่บูชาสาธารณ สถานีรถไฟ ท่าอากาศยานที่จอดรถ หรือเรือสาธารณ สาธารณสถานสำหรับขนถ่ายสินค้า หรือในยวดยานสาธารณ
335(10),ผู้ใดลักทรัพย์  ที่ใช้หรือมีไว้เพื่อสาธารณประโยชน์
335(11),ผู้ใดลักทรัพย์ ที่เป็นของนายจ้างหรือที่อยู่ในความครอบครองของนายจ้าง
335(12),ผู้ใดลักทรัพย์ ที่เป็นของผู้มีอาชีพกสิกรรม บรรดาที่เป็นผลิตภัณฑ์ พืชพันธุ์ สัตว์หรือเครื่องมืออันมีไว้สำหรับประกอบกสิกรรมหรือได้มา จากการกสิกรรมนั้น
335ทวิ,"ผู้ใดลักทรัพย์ที่เป็นพระพุทธรูปหรือวัตถุใน ทางศาสนา ถ้าทรัพย์นั้นเป็นที่สักการะบูชาของประชาชน หรือเก็บ รักษาไว้เป็นสมบัติของชาติ หรือส่วนหนึ่งส่วนใดของพระพุทธรูป หรือวัตถุดังกล่าวต้องระวางโทษจำคุกตั้งแต่สามปีถึงสิบปี และปรับ ตั้งแต่หกพันบาทถึงสองหมื่นบาท
ถ้าการกระทำความผิดตามวรรคแรก ได้กระทำในวัด สำนักสงฆ์ สถานอันเป็นที่เคารพในทางศาสนา โบราณสถานอันเป็นทรัพย์สินของ แผ่นดิน สถานที่ราชการหรือพิพิธภัณฑสถานแห่งชาติ ผู้กระทำต้อง ระวางโทษจำคุกตั้งแต่ห้าปีถึงสิบห้าปี และปรับตั้งแต่หนึ่งหมื่นบาท ถึงสามหมื่นบาท"
336,"ผู้ใดลักทรัพย์โดยฉกฉวยเอาซึ่งหน้า ผู้นั้นกระทำ ความผิดฐานวิ่งราวทรัพย์ ต้องระวางโทษจำคุกไม่เกินห้าปีและปรับ ไม่เกินหนึ่งหมื่นบาท
ถ้าการวิ่งราวทรัพย์เป็นเหตุให้ผู้อื่นรับอันตรายแก่กายหรือจิตใจ ผู้กระทำต้องระวางโทษจำคุกตั้งแต่สองปีถึงเจ็ดปี และปรับตั้งแต่ สี่พันบาทถึงหนึ่งหมื่นสี่พันบาท
ถ้าการวิ่งราวทรัพย์เป็นเหตุให้ผู้อื่นรับอันตรายสาหัส ผู้กระทำ ต้องระวางโทษจำคุกตั้งแต่สามปีถึงสิบปี และปรับตั้งแต่หกพันบาท ถึงสองหมื่นบาท
ถ้าการวิ่งราวทรัพย์เป็นเหตุให้ผู้อื่นถึงแก่ความตาย ผู้กระทำต้อง ระวางโทษจำคุกตั้งแต่ห้าปีถึงสิบห้าปี และปรับตั้งแต่หนึ่งหมื่นบาท ถึงสามหมื่นบาท "
337(1),ผู้ใดข่มขืนใจผู้อื่นให้ยอมให้หรือยอมจะให้ตนหรือผู้อื่น ได้ประโยชน์ในลักษณะที่เป็นทรัพย์สิน โดยใช้กำลังประทุษร้ายหรือ โดยขู่เข็ญว่าจะทำอันตรายต่อชีวิต ร่างกาย เสรีภาพ ชื่อเสียงหรือ ทรัพย์สินของผู้ถูกขู่เข็ญ หรือของบุคคลที่สาม จนผู้ถูกข่มขืนใจยอม เช่นว่านั้น ผู้นั้นกระทำความผิดฐานกรรโชก ขู่ว่าจะฆ่า ขู่ว่าจะทำร้ายร่างกายให้ผู้ถูกข่มขืนใจหรือผู้อื่น ให้ได้รับอันตรายสาหัส หรือขู่ว่าจะทำให้เกิดเพลิงไหม้แก่ทรัพย์ของ ผู้ถูกข่มขืนใจหรือผู้อื่น
337(2),ผู้ใดข่มขืนใจผู้อื่นให้ยอมให้หรือยอมจะให้ตนหรือผู้อื่น ได้ประโยชน์ในลักษณะที่เป็นทรัพย์สิน โดยใช้กำลังประทุษร้ายหรือ โดยขู่เข็ญว่าจะทำอันตรายต่อชีวิต ร่างกาย เสรีภาพ ชื่อเสียงหรือ ทรัพย์สินของผู้ถูกขู่เข็ญ หรือของบุคคลที่สาม จนผู้ถูกข่มขืนใจยอม เช่นว่านั้น ผู้นั้นกระทำความผิดฐานกรรโชก มีอาวุธติดตัวมาขู่เข็ญ
338,ผู้ใดข่มขืนใจผู้อื่นให้ยอมให้หรือยอมจะให้ตนหรือผู้อื่น ได้ประโยชน์ในลักษณะที่เป็นทรัพย์สิน โดยการขู่เข็ญว่าจะเปิดเผย ความลับซึ่งการเปิดเผยนั้นจะทำให้ผู้ถูกขู่เข็ญหรือบุคคลที่สามเสียหาย จนผู้ถูกข่มขืนใจยอมเช่นว่านั้น ผู้นั้นกระทำความผิดฐานรีดเอาทรัพย์ ต้องระวางโทษจำคุกตั้งแต่หนึ่งปีถึงสิบปีและปรับตั้งแต่สองพันบาท ถึงสองหมื่นบาท 
339(1),ผู้ใดลักทรัพย์โดยใช้กำลังประทุษร้าย หรือขู่เข็ญว่า ในทันใดนั้นจะใช้กำลังประทุษร้าย เพื่อให้ความสะดวกแก่การลักทรัพย์หรือการพาทรัพย์นั้นไป ผู้นั้นกระทำความผิดฐานชิงทรัพย์
339(2),ผู้ใดลักทรัพย์โดยใช้กำลังประทุษร้าย หรือขู่เข็ญว่า ในทันใดนั้นจะใช้กำลังประทุษร้าย เพื่อให้ยื่นให้ซึ่งทรัพย์นั้น ผู้นั้นกระทำความผิดฐานชิงทรัพย์
339(3),ผู้ใดลักทรัพย์โดยใช้กำลังประทุษร้าย หรือขู่เข็ญว่า ในทันใดนั้นจะใช้กำลังประทุษร้าย เพื่อยึดถือเอาทรัพย์นั้นไว้ ผู้นั้นกระทำความผิดฐานชิงทรัพย์
339(4),ผู้ใดลักทรัพย์โดยใช้กำลังประทุษร้าย หรือขู่เข็ญว่า ในทันใดนั้นจะใช้กำลังประทุษร้าย เพื่อปกปิดการกระทำความผิดนั้น ผู้นั้นกระทำความผิดฐานชิงทรัพย์
339(5),ผู้ใดลักทรัพย์โดยใช้กำลังประทุษร้าย หรือขู่เข็ญว่า ในทันใดนั้นจะใช้กำลังประทุษร้าย เพื่อให้พ้นจากการจับกุม ผู้นั้นกระทำความผิดฐานชิงทรัพย์
340,ผู้ใดชิงทรัพย์โดยร่วมกันกระทำความผิดด้วยกันตั้งแต่ สามคนขึ้นไป ผู้นั้นกระทำความผิดฐานปล้นทรัพย์ ถ้าในการปล้นทรัพย์ผู้กระทำแม้แต่คนหนึ่งคนใด มีอาวุธติดตัวไป ถ้าการปล้นทรัพย์เป็นเหตุให้ผู้อื่นรับอันตรายสาหัส ถ้าการปล้นทรัพย์ได้กระทำโดยแสดงความทารุณ จนเป็นเหตุให้ ผู้อื่นรับอันตรายแก่กายหรือจิตใจ ใช้ปืนยิง ใช้วัตถุระเบิดหรือกระทำ ทรมานผู้ ถ้าการปล้นทรัพย์เป็นเหตุให้ผู้อื่นถึงแก่ความตาย
340ทวิ,"ถ้าการปล้นทรัพย์ได้กระทำต่อทรัพย์ตาม มาตรา 335ทวิ วรรคแรก ผู้กระทำต้องระวางโทษจำคุกตั้งแต่สิบปีถึงยี่สิบปี และปรับตั้งแต่สองหมื่นบาทถึงสี่หมื่นบาท
ถ้าการปล้นทรัพย์นั้นเป็นการกระทำในสถานที่ดังที่บัญญัติไว้ใน มาตรา 335ทวิ วรรคสอง ด้วย 
ผู้กระทำต้องระวางโทษจำคุกตั้งแต่ สิบห้าปีถึงยี่สิบปี และปรับตั้งแต่สามหมื่นบาทถึงสี่หมื่นบาท
ถ้าการปล้นทรัพย์ตามวรรคแรกหรือวรรคสอง ผู้กระทำแม้แต่ คนหนึ่งคนใดมีอาวุธติดตัวไปด้วย 
ผู้กระทำต้องระวางโทษจำคุกตลอดชีวิต หรือจำคุกตั้งแต่สิบห้าปีถึงยี่สิบปี
ถ้าการปล้นทรัพย์ตามวรรคแรกหรือวรรคสองเป็นเหตุให้ผู้อื่นรับ อันตรายสาหัส ผู้กระทำต้องระวางโทษจำคุกตลอดชีวิต
ถ้าการปล้นทรัพย์ตามวรรคแรกหรือวรรคสองได้กระทำโดยแสดง ความทารุณจนเป็นเหตุให้ผู้อื่นรับอันตรายแก่กายหรือจิตใจ ใช้ปืนยิง ใช้วัตถุระเบิดหรือกระทำทรมาน ผู้กระทำต้องระวางโทษประหารชีวิต หรือจำคุกตลอดชีวิต
ถ้าการปล้นทรัพย์ตามวรรคแรกหรือวรรคสองเป็นเหตุให้ผู้อื่นถึง แก่ความตาย ผู้กระทำต้องระวางโทษประหารชีวิต"
341,ผู้ใดโดยทุจริต หลอกลวงผู้อื่นด้วยการแสดงข้อความ อันเป็นเท็จ หรือปกปิดข้อความจริงซึ่งควรบอกให้แจ้งและโดยการหลอก ลวงดังว่านั้นได้ไปซึ่งทรัพย์สินจากผู้ถูกหลอกลวง หรือบุคคลที่สามหรือ ทำให้ผู้ถูกหลอกลวงหรือบุคคลที่สามทำ ถอนหรือทำลายเอกสารสิทธิ ผู้นั้นกระทำความผิดฐานฉ้อโกง ต้องระวางโทษจำคุกไม่เกินสามปี หรือ ปรับไม่เกินหกพันบาท หรือทั้งจำทั้งปรับ
342(1),ถ้าในการกระทำความผิดฐานฉ้อโกง ผู้กระทำแสดงตนเป็นคนอื่น
342(2),ถ้าในการกระทำความผิดฐานฉ้อโกง อาศัยความเบาปัญญาของผู้ถูกหลอกลวงซึ่งเป็นเด็ก หรืออาศัย ความอ่อนแอทางจิตของผู้ถูกหลอกลวง
343,"ถ้าการกระทำความผิดตาม มาตรา 341 ได้กระทำ ด้วยการแสดงข้อความอันเป็นเท็จต่อประชาชน หรือด้วยการปกปิด ความจริง ซึ่งควรบอกให้แจ้งแก่ประชาชน ผู้กระทำต้องระวางโทษ จำคุกไม่เกินห้าปี หรือปรับไม่เกินหนึ่งหมื่นบาท หรือทั้งจำทั้งปรับ
ถ้าการกระทำความผิดดังกล่าวในวรรคแรก ต้องด้วยลักษณะ ดังกล่าวใน มาตรา 342 อนุมาตรา หนึ่งอนุมาตราด้วย ผู้กระทำต้องระวางโทษจำคุกตั้งแต่หกเดือนถึงเจ็ดปี และปรับตั้งแต่หนึ่งพัน บาทถึงหนึ่งหมื่นสี่พันบาท"
344,ผู้ใดโดยทุจริต หลอกลวงบุคคลตั้งแต่สิบคนขึ้นไป ให้ประกอบการงานอย่างใด ๆ ให้แก่ตนหรือให้บุคคลที่สามโดยจะ ไม่ใช้ค่าแรงงานหรือค่าจ้างแก่บุคคลเหล่านั้น หรือโดยจะใช้ค่าแรงงาน หรือค่าจ้างแก่บุคคลเหล่านั้นต่ำกว่าที่ตกลงกัน ต้องระวางโทษจำคุก ไม่เกินสามปี หรือปรับไม่เกินหกพันบาท หรือทั้งจำทั้งปรับ 
345,ผู้ใดสั่งซื้อและบริโภคอาหารหรือเครื่องดื่มหรือเข้าอยู่ ในโรงแรม โดยรู้ว่าตนไม่สามารถชำระเงินค่าอาหาร ค่าเครื่องดื่ม หรือ ค่าอยู่ในโรงแรมนั้น ต้องระวางโทษจำคุกไม่เกินสามเดือน หรือปรับ ไม่เกินห้าร้อยบาท หรือทั้งจำทั้งปรับ
346,ผู้ใดเพื่อเอาทรัพย์สินของผู้อื่นเป็นของตนหรือของ บุคคลที่สาม ชักจูงผู้หนึ่งผู้ใดให้จำหน่ายโดยเสียเปรียบซึ่งทรัพย์สิน โดยอาศัยเหตุที่ผู้ถูกชักจูงมีจิตอ่อนแอหรือเป็นเด็กเบาปัญญา และ ไม่สามารถเข้าใจตามควรซึ่งสารสำคัญแห่งการกระทำของตน จนผู้ ถูกชักจูงจำหน่ายซึ่งทรัพย์สินนั้น ต้องระวางโทษจำคุกไม่เกินสองปี หรือปรับไม่เกินสี่พันบาท หรือทั้งจำทั้งปรับ
347,ผู้ใดเพื่อให้ตนเองหรือผู้อื่นได้รับประโยชน์จากการ ประกันวินาศภัย แกล้งทำให้เกิดเสียหายแต่ทรัพย์สินอันเป็นวัตถุที่ เอาประกันภัย ต้องระวางโทษจำคุกไม่เกินห้าปี หรือปรับไม่เกิน หนึ่งหมื่นบาท หรือทั้งจำทั้งปรับ 
349,ผู้ใดเอาไปเสีย ทำให้เสียหาย ทำลาย ทำให้เสื่อมค่า หรือทำให้ไร้ประโยชน์ ซึ่งทรัพย์อันตนจำนำไว้แก่ผู้อื่น ถ้าได้กระทำ เพื่อให้เกิดความเสียหายแก่ผู้รับจำนำ ต้องระวางโทษจำคุกไม่เกิน สองปี หรือปรับไม่เกินสี่พันบาท หรือทั้งจำทั้งปรับ
350,ผู้ใดเพื่อมิให้เจ้าหนี้ของตนหรือของผู้อื่นได้รับชำระ หนี้ทั้งหมดหรือแต่บางส่วน ซึ่งได้ใช้หรือจะใช้สิทธิเรียกร้องทางศาล ให้ชำระหนี้ ย้ายไปเสีย ซ่อนเร้นหรือโอนไปให้ผู้อื่นซึ่งทรัพย์ใดก็ดี แกล้งให้ตนเองเป็นหนี้จำนวนใดอันไม่เป็นความจริงก็ดี ต้องระวาง โทษจำคุกไม่เกินสองปี หรือปรับไม่เกินสี่พันบาท หรือทั้งจำทั้งปรับ 
352,"ผู้ใดครอบครองทรัพย์ซึ่งเป็นของผู้อื่น หรือซึ่งผู้อื่น เป็นเจ้าของรวมอยู่ด้วย เบียดบังเอาทรัพย์นั้นเป็นของตนหรือบุคคล ที่สามโดยทุจริต ผู้นั้นกระทำความผิดฐานยักยอก ต้องระวางโทษ จำคุกไม่เกินสามปี หรือปรับไม่เกินหกพันบาท หรือทั้งจำทั้งปรับ
ถ้าทรัพย์นั้นได้ตกมาอยู่ในความครอบครองของผู้กระทำความผิด เพราะผู้อื่นส่งมอบให้โดยสำคัญผิดไปด้วยประการใด หรือเป็นทรัพย์ สินหายซึ่งผู้กระทำความผิดเก็บได้ ผู้กระทำต้องระวางโทษแต่เพียง กึ่งหนึ่ง"
353,ผู้ใดได้รับมอบหมายให้จัดการทรัพย์สินของผู้อื่นหรือ ทรัพย์สินซึ่งผู้อื่นเป็นเจ้าของรวมอยู่ด้วย กระทำผิดหน้าที่ของตนด้วย ประการใด ๆ โดยทุจริต จนเป็นเหตุให้เกิดความเสียหายแก่ประโยชน์ ในลักษณะที่เป็นทรัพย์สินของผู้นั้น ต้องระวางโทษจำคุกไม่เกินสามปี หรือปรับไม่เกินหกพันบาท หรือทั้งจำทั้งปรับ 
354,ถ้าการกระทำความผิดตาม มาตรา 352 หรือ มาตรา 353 ได้กระทำในฐานที่ผู้กระทำความผิดเป็นผู้จัดการทรัพย์สินของ ผู้อื่น ตามคำสั่งของศาล หรือตามพินัยกรรม หรือในฐานเป็นผู้มีอาชีพ หรือธุรกิจ อันย่อมเป็นที่ไว้วางใจของประชาชน ผู้กระทำต้องระวาง โทษจำคุกไม่เกินห้าปี หรือปรับไม่เกินหนึ่งหมื่นบาท หรือทั้งจำทั้งปรับ
355,ผู้ใดเก็บได้ซึ่งสังหาริมทรัพย์อันมีค่า อันซ่อนหรือฝัง ไว้โดยพฤติการณ์ซึ่งไม่มีผู้ใดอ้างว่าเป็นเจ้าของได้ แล้วเบียดบังเอา ทรัพย์นั้นเป็นของตนหรือของผู้อื่น ต้องระวางโทษจำคุกไม่เกินหนึ่งปี หรือปรับไม่เกินสองพันบาท หรือทั้งจำทั้งปรับ 
357,"ผู้ใดช่วยซ่อนเร้น ช่วยจำหน่าย ช่วยพาเอาไปเสีย ซื้อ รับจำนำหรือรับไว้โดยประการใด ซึ่งทรัพย์อันได้มาโดยการกระ ทำความผิดถ้าความผิดนั้นเข้าลักษณะลักทรัพย์ วิ่งราวทรัพย์ กรรโชก รีด เอาทรัพย์ ชิงทรัพย์ ปล้นทรัพย์ ฉ้อโกง ยักยอกหรือ เจ้าพนักงานยักยอกทรัพย์ ผู้นั้นกระทำความผิดฐานรับของโจรต้อง ระวางโทษจำคุกไม่เกินห้าปี หรือปรับไม่เกินหนึ่งหมื่นบาท หรือทั้ง จำทั้งปรับ
ถ้าการกระทำความผิดฐานรับของโจรนั้น ได้กระทำเพื่อค้ากำไร หรือได้กระทำต่อทรัพย์อันได้มาโดยการลักทรัพย์ตาม มาตรา 335 (10) ชิงทรัพย์หรือปล้นทรัพย์ ผู้กระทำต้องระวางโทษจำคุกตั้งแต่ หกเดือนถึงสิบปี และปรับตั้งแต่หนึ่งพันบาทถึงสองหมื่นบาท
 ถ้าการกระทำความผิดฐานรับของโจรนั้น ได้กระทำต่อทรัพย์ อันได้มาโดยการลักทรัพย์ตาม มาตรา 335ทวิ การชิงทรัพย์ตาม มาตรา 339ทวิ หรือการปล้นทรัพย์ตาม มาตรา 340ทวิ ผู้กระทำ ต้องระวางโทษจำคุกตั้งแต่ห้าปีถึงสิบห้าปี และปรับตั้งแต่หนึ่งหมื่น บาทถึงสามหมื่นบาท"
358,ผู้ใดทำให้เสียหาย ทำลาย ทำให้เสื่อมค่าหรือทำให้ ไร้ประโยชน์ ซึ่งทรัพย์ของผู้อื่นหรือผู้อื่นเป็นเจ้าของรวมอยู่ด้วย ผู้นั้นกระทำความผิดฐานทำให้เสียทรัพย์ ต้องระวางโทษจำคุกไม่ เกินสามปี หรือปรับไม่เกินหกพันบาท หรือทั้งจำทั้งปรับ
359(1),ถ้าการกระทำความผิดตาม มาตรา 358 ได้กระทำต่อเครื่องกลหรือเครื่องจักรที่ใช้ในการประกอบกสิกรรม หรือ อุตสาหกรรม
359(2),ถ้าการกระทำความผิดตาม มาตรา 358 ได้กระทำต่อปศุสัตว์
359(3),ถ้าการกระทำความผิดตาม มาตรา 358 ได้กระทำต่อยวดยานหรือสัตว์พาหนะที่ใช้ในการขนส่งสาธารณ หรือในการ ประกอบกสิกรรมหรืออุตสาหกรรม
359(4),ถ้าการกระทำความผิดตาม มาตรา 358 ได้กระทำต่อพืชหรือพืชผลของกสิกร
360,ผู้ใดทำให้เสียหาย ทำลาย ทำให้เสื่อมค่าหรือทำให้ ไร้ประโยชน์ซึ่งทรัพย์ที่ใช้หรือมีไว้เพื่อสาธารณประโยชน์ต้องระวาง โทษจำคุกไม่เกินห้าปี หรือปรับไม่เกินหนึ่งหมื่นบาท หรือทั้งจำทั้งปรับ 
362,ผู้ใดเข้าไปในอสังหาริมทรัพย์ของผู้อื่นเพื่อถือการ ครอบครองอสังหาริมทรัพย์นั้นทั้งหมดหรือแต่บางส่วน หรือเข้าไป กระทำการใด ๆ อันเป็นการรบกวนการครอบครองอสังหาริมทรัพย์ ของเขาโดยปกติสุข ต้องระวางโทษจำคุกไม่เกินหนึ่งปี หรือปรับ ไม่เกินสองพันบาท หรือทั้งจำทั้งปรับ
363,ผู้ใดเพื่อถือเอาอสังหาริมทรัพย์ของผู้อื่นเป็นของตน หรือของบุคคลที่สาม ยักย้ายหรือทำลายเครื่องหมายเขตแห่ง อสังหาริมทรัพย์นั้นทั้งหมดหรือแต่บางส่วน ต้องระวางโทษจำคุก ไม่เกินสามปี หรือปรับไม่เกินหกพันบาท หรือทั้งจำทั้งปรับ
364,ผู้ใดโดยไม่มีเหตุอันสมควรเข้าไป หรือซ่อนตัวอยู่ใน เคหสถาน อาคารเก็บรักษาทรัพย์หรือสำนักงานในความครอบครอง ของผู้อื่น หรือไม่ยอมออกไปจากสถานที่เช่นว่านั้น เมื่อผู้มีสิทธิที่จะ ห้ามมิให้เข้าไปได้ไล่ให้ออก ต้องระวางโทษจำคุกไม่เกินหนึ่งปี หรือ ปรับไม่เกินสองพันบาท หรือทั้งจำทั้งปรับ 
365(1),ถ้าการกระทำความผิดตาม มาตรา 362 มาตรา 363 หรือ มาตรา 364 ได้กระทำ โดยใช้กำลังประทุษร้าย หรือขู่เข็ญว่าจะใช้กำลังประทุษร้าย
365(2),ถ้าการกระทำความผิดตาม มาตรา 362 มาตรา 363 หรือ มาตรา 364 ได้กระทำ โดยมีอาวุธหรือโดยร่วมกระทำความผิดด้วยกันตั้งแต่สองคน ขึ้นไป
365(3),ถ้าการกระทำความผิดตาม มาตรา 362 มาตรา 363 หรือ มาตรา 364 ได้กระทำ ในเวลากลางคืน