,NO,Text
0,276,ผู้ใดข่มขืนกระทำชำเราผู้อื่นโดยขู่เข็ญด้วยประการใด ๆ โดยใช้กำลังประทุษร้ายโดยผู้อื่นนั้นอยู่ในภาวะที่ไม่สามารถขัดขืนได้ หรือโดยทำให้ผู้อื่นนั้นเข้าใจผิดว่าตนเป็นบุคคลอื่น การกระทำชำเราตามวรรคหนึ่ง หมายความว่าการกระทำเพื่อสนองความใคร่ของผู้กระทำโดย การใช้อวัยวะเพศของผู้กระทำกระทำกับอวัยวะเพศ ทวารหนัก หรือช่องปากของผู้อื่น หรือการใช้สิ่งอื่นใดกระทำกับอวัยวะเพศหรือทวารหนักของผู้อื่น ถ้าการกระทำความผิดตามวรรคหนึ่งได้กระทำโดยมีหรือใช้อาวุธปืนหรือวัตถุระเบิด หรือโดยร่วมกระทำความผิดด้วยกันอันมีลักษณะเป็นการโทรมหญิง หรือกระทำกับชายในลักษณะเดียวกัน
1,277,ผู้ใดกระทำชำเราเด็กอายุยังไม่เกินสิบห้าปีซึ่งมิใช่ภริยาหรือสามีของตน โดยเด็กนั้นจะยินยอมหรือไม่ก็ตาม การกระทำชำเราตามวรรคหนึ่ง หมายความว่าการกระทำเพื่อสนองความใคร่ของผู้กระทำ โดยการใช้อวัยวะเพศของผู้กระทำกระทำกับอวัยวะเพศ ทวารหนัก หรือช่องปากของผู้อื่น หรือการใช้สิ่งอื่นใดกระทำกับอวัยวะเพศหรือทวารหนักของผู้อื่น ถ้าการกระทำความผิดตามวรรคหนึ่งเป็นการกระทำแก่เด็กอายุยังไม่เกินสิบสามปี ถ้าการกระทำความผิดตามวรรคหนึ่งหรือวรรคสามได้กระทำโดยร่วมกระทำความผิดด้วยกัน อันมีลักษณะเป็นการโทรมเด็กหญิงหรือกระทำกับเด็กชายในลักษณะเดียวกันและเด็กนั้นไม่ยินยอม หรือได้กระทำโดยมีอาวุธปืนหรือวัตถุระเบิด หรือโดยใช้อาวุธ ถ้าเป็นการกระทำโดยบุคคลอายุไม่เกินสิบแปดปีกระทำ ต่อเด็กซึ่งมีอายุกว่าสิบสามปี แต่ยังไม่เกินสิบห้าปี โดยเด็กนั้นยินยอม และภายหลังศาลอนุญาตให้ทั้งสองฝ่ายสมรสกัน 
2,277ทวิ(1),ผู้ใดข่มขืนกระทำชำเราผู้อื่นโดยขู่เข็ญด้วยประการใด ๆ โดยใช้กำลังประทุษร้ายโดยผู้อื่นนั้นอยู่ในภาวะที่ไม่สามารถขัดขืนได้ หรือโดยทำให้ผู้อื่นนั้นเข้าใจผิดว่าตนเป็นบุคคลอื่นรับอันตรายสาหัสผู้ใดกระทำชำเราเด็กอายุยังไม่เกินสิบห้าปีซึ่งมิใช่ภริยาหรือสามีของตน โดยเด็กนั้นจะยินยอมหรือไม่ก็ตาม รับอันตรายสาหัสถ้าการกระทำความผิดตามวรรคหนึ่งเป็นการกระทำแก่เด็กอายุยังไม่เกินสิบสามปี รับอันตรายสาหัส
3,277ทวิ(2),ผู้ใดข่มขืนกระทำชำเราผู้อื่นโดยขู่เข็ญด้วยประการใด ๆ โดยใช้กำลังประทุษร้ายโดยผู้อื่นนั้นอยู่ในภาวะที่ไม่สามารถขัดขืนได้ หรือโดยทำให้ผู้อื่นนั้นเข้าใจผิดว่าตนเป็นบุคคลอื่นถึงแก่ความตาย ผู้ใดกระทำชำเราเด็กอายุยังไม่เกินสิบห้าปีซึ่งมิใช่ภริยาหรือสามีของตน โดยเด็กนั้นจะยินยอมหรือไม่ก็ตาม ถึงแก่ความตาย ถ้าการกระทำความผิดตามวรรคหนึ่งเป็นการกระทำแก่เด็กอายุยังไม่เกินสิบสามปี ถึงแก่ความตาย 
4,277ตรี(1),ถ้าการกระทำความผิดตามวรรคหนึ่งได้กระทำโดยมีหรือใช้อาวุธปืนหรือวัตถุระเบิด หรือโดยร่วมกระทำความผิดด้วยกันอันมีลักษณะเป็นการโทรมหญิง หรือกระทำกับชายในลักษณะเดียวกันรับอันตรายสาหัส กระทำโดยร่วมกระทำความผิดด้วยกัน อันมีลักษณะเป็นการโทรมเด็กหญิงหรือกระทำกับเด็กชายในลักษณะเดียวกันและเด็กนั้นไม่ยินยอม หรือได้กระทำโดยมีอาวุธปืนหรือวัตถุระเบิด หรือโดยใช้อาวุธรับอันตรายสาหัส 
5,277ตรี(2),ถ้าการกระทำความผิดตามวรรคหนึ่งได้กระทำโดยมีหรือใช้อาวุธปืนหรือวัตถุระเบิด หรือโดยร่วมกระทำความผิดด้วยกันอันมีลักษณะเป็นการโทรมหญิง หรือกระทำกับชายในลักษณะเดียวกันถึงแก่ความตาย กระทำโดยร่วมกระทำความผิดด้วยกัน อันมีลักษณะเป็นการโทรมเด็กหญิงหรือกระทำกับเด็กชายในลักษณะเดียวกันและเด็กนั้นไม่ยินยอม หรือได้กระทำโดยมีอาวุธปืนหรือวัตถุระเบิด หรือโดยใช้อาวุธถึงแก่ความตาย 
6,278,ผู้ใดกระทำอนาจารแก่บุคคลอายุกว่าสิบห้าปีโดย ขู่เข็ญด้วยประการใด ๆ โดยใช้กำลังประทุษร้าย โดยบุคคลนั้นอยู่ ในภาวะที่ไม่สามารถขัดขืนได้ หรือโดยทำให้บุคคลนั้นเข้าใจผิดว่า ตนเป็นบุคคลอื่น
7,279,ผู้ใดกระทำอนาจารแก่เด็กอายุยังไม่เกินสิบห้าปี โดยเด็กนั้นจะยินยอมหรือไม่ก็ตาม ถ้าการกระทำความผิดตามวรรคแรก ผู้กระทำได้กระทำโดย ขู่เข็ญด้วยประการใดๆ โดยใช้กำลังประทุษร้าย โดยเด็กนั้นอยู่ใน ภาวะที่ไม่สามารถขัดขืนได้ หรือโดยทำให้เด็กนั้นเข้าใจผิดว่าตน เป็นบุคคลอื่น
8,280(1),ผู้ใดกระทำอนาจารแก่บุคคลอายุกว่าสิบห้าปีโดย ขู่เข็ญด้วยประการใด ๆ โดยใช้กำลังประทุษร้าย โดยบุคคลนั้นอยู่ ในภาวะที่ไม่สามารถขัดขืนได้ หรือโดยทำให้บุคคลนั้นเข้าใจผิดว่า ตนเป็นบุคคลอื่นรับอันตรายสาหัสผู้ใดกระทำอนาจารแก่เด็กอายุยังไม่เกินสิบห้าปี โดยเด็กนั้นจะยินยอมหรือไม่ก็ตาม ถ้าการกระทำความผิดตามวรรคแรก ผู้กระทำได้กระทำโดย ขู่เข็ญด้วยประการใดๆ โดยใช้กำลังประทุษร้าย โดยเด็กนั้นอยู่ใน ภาวะที่ไม่สามารถขัดขืนได้ หรือโดยทำให้เด็กนั้นเข้าใจผิดว่าตน เป็นบุคคลอื่นรับอันตรายสาหัส
9,280(2),ผู้ใดกระทำอนาจารแก่บุคคลอายุกว่าสิบห้าปีโดย ขู่เข็ญด้วยประการใด ๆ โดยใช้กำลังประทุษร้าย โดยบุคคลนั้นอยู่ ในภาวะที่ไม่สามารถขัดขืนได้ หรือโดยทำให้บุคคลนั้นเข้าใจผิดว่า ตนเป็นบุคคลอื่นถึงแก่ความตาย ผู้ใดกระทำอนาจารแก่เด็กอายุยังไม่เกินสิบห้าปี โดยเด็กนั้นจะยินยอมหรือไม่ก็ตาม ถ้าการกระทำความผิดตามวรรคแรก ผู้กระทำได้กระทำโดย ขู่เข็ญด้วยประการใดๆ โดยใช้กำลังประทุษร้าย โดยเด็กนั้นอยู่ใน ภาวะที่ไม่สามารถขัดขืนได้ หรือโดยทำให้เด็กนั้นเข้าใจผิดว่าตน เป็นบุคคลอื่นถึงแก่ความตาย 
10,282,ผู้ใดเพื่อสนองความใคร่ของผู้อื่น เป็นธุระจัดหา ล่อไป หรือพาไปเพื่อการอนาจารซึ่งชายหรือหญิง แม้ผู้นั้นจะยินยอมก็ตาม ถ้าการกระทำความผิดตาม วรรคแรกเป็นการกระทำแก่บุคคล อายุเกินสิบห้าปีแต่ยังไม่เกินสิบแปดปีผู้กระทำต้องระวางโทษจำคุก ตั้งแต่สามปีถึงสิบห้าปี และปรับตั้งแต่หกพันบาทถึงสามหมื่นบาท ถ้าการกระทำความผิดตาม วรรคแรกเป็นการกระทำแก่บุคคล อายุไม่เกินสิบห้าปีผู้กระทำ ผู้ใดเพื่อสนองความใคร่ของผู้อื่น รับตัวบุคคลซึ่งมีผู้จัดหา ล่อไป หรือพาไป
11,283,ผู้ใดเพื่อสนองความใคร่ของผู้อื่น เป็นธุระจัดหา ล่อไป หรือพาไปเพื่อการอนาจารซึ่งชายหรือหญิง โดยใช้อุบายหลอกลวง ขู่เข็ญ ใช้กำลังประทุษร้าย ใช้อำนาจครอบงำผิดคลองธรรม หรือใช้วิธีข่มขืนใจด้วยประการอื่นใด ถ้าการกระทำความผิดตาม วรรคแรกเป็นการกระทำแก่บุคคลอายุเกินสิบห้าปีแต่ยังไม่เกินสิบแปดปีผู้กระทำ ถ้าการกระทำความผิดตาม วรรคแรกเป็นการกระทำแก่เด็กอายุไม่เกินสิบห้าปี ผู้ใดเพื่อสนองความใคร่ของผู้อื่น รับตัวบุคคลซึ่งมีผู้จัดหา ล่อไป หรือพาไป
12,283ทวิ,ผู้ใดพาบุคคลอายุเกินสิบห้าปีแต่ยังไม่เกินสิบแปดปี ไปเพื่อการอนาจาร แม้ผู้นั้นจะยินยอมก็ตาม ถ้าการกระทำความผิดตาม วรรคแรกเป็นการกระทำแก่เด็กอายุยังไม่ เกินสิบห้าปี ผู้ใดซ่อนเร้นบุคคลซึ่งถูกพา 
13,284,ผู้ใดพาผู้อื่นไปเพื่อการอนาจาร โดยใช้อุบายหลอกลวง ขู่เข็ญ ใช้กำลังประทุษร้ายใช้อำนาจครอบงำผิดคลองธรรม หรือใช้วิธี ข่มขืนใจด้วยประการอื่นใด ต้องระวางโทษจำคุกตั้งแต่หนึ่งปีถึงสิบปี และปรับตั้งแต่สองพันบาทถึงสองหมื่นบาท ผู้ใดซ่อนเร้นบุคคลซึ่ง ถูกพาไปตามวรรคแรก ต้องระวางโทษเช่น เดียวกับผู้พาไปนั้น
14,285,"ผู้ใดข่มขืนกระทำชำเราผู้อื่นโดยขู่เข็ญด้วยประการใด ๆ โดยใช้กำลังประทุษร้ายโดยผู้อื่นนั้นอยู่ในภาวะที่ไม่สามารถขัดขืนได้ หรือโดยทำให้ผู้อื่นนั้นเข้าใจผิดว่าตนเป็นบุคคลอื่น การกระทำชำเราตามวรรคหนึ่ง หมายความว่าการกระทำเพื่อสนองความใคร่ของผู้กระทำโดย การใช้อวัยวะเพศของผู้กระทำกระทำกับอวัยวะเพศ ทวารหนัก หรือช่องปากของผู้อื่น หรือการใช้สิ่งอื่นใดกระทำกับอวัยวะเพศหรือทวารหนักของผู้อื่น ถ้าการกระทำความผิดตามวรรคหนึ่งได้กระทำโดยมีหรือใช้อาวุธปืนหรือวัตถุระเบิด หรือโดยร่วมกระทำความผิดด้วยกันอันมีลักษณะเป็นการโทรมหญิง หรือกระทำกับชายในลักษณะเดียวกันผู้ใดกระทำชำเราเด็กอายุยังไม่เกินสิบห้าปีซึ่งมิใช่ภริยาหรือสามีของตน โดยเด็กนั้นจะยินยอมหรือไม่ก็ตาม การกระทำชำเราตามวรรคหนึ่ง หมายความว่าการกระทำเพื่อสนองความใคร่ของผู้กระทำ โดยการใช้อวัยวะเพศของผู้กระทำกระทำกับอวัยวะเพศ ทวารหนัก หรือช่องปากของผู้อื่น หรือการใช้สิ่งอื่นใดกระทำกับอวัยวะเพศหรือทวารหนักของผู้อื่น ถ้าการกระทำความผิดตามวรรคหนึ่งเป็นการกระทำแก่เด็กอายุยังไม่เกินสิบสามปี ถ้าการกระทำความผิดตามวรรคหนึ่งหรือวรรคสามได้กระทำโดยร่วมกระทำความผิดด้วยกัน อันมีลักษณะเป็นการโทรมเด็กหญิงหรือกระทำกับเด็กชายในลักษณะเดียวกันและเด็กนั้นไม่ยินยอม หรือได้กระทำโดยมีอาวุธปืนหรือวัตถุระเบิด หรือโดยใช้อาวุธ ถ้าเป็นการกระทำโดยบุคคลอายุไม่เกินสิบแปดปีกระทำ ต่อเด็กซึ่งมีอายุกว่าสิบสามปี แต่ยังไม่เกินสิบห้าปี โดยเด็กนั้นยินยอม และภายหลังศาลอนุญาตให้ทั้งสองฝ่ายสมรสกัน รับอันตรายสาหัสผู้ใดข่มขืนกระทำชำเราผู้อื่นโดยขู่เข็ญด้วยประการใด ๆ โดยใช้กำลังประทุษร้ายโดยผู้อื่นนั้นอยู่ในภาวะที่ไม่สามารถขัดขืนได้ หรือโดยทำให้ผู้อื่นนั้นเข้าใจผิดว่าตนเป็นบุคคลอื่น, ผู้ใดกระทำชำเราเด็กอายุยังไม่เกินสิบห้าปีซึ่งมิใช่ภริยาหรือสามีของตน โดยเด็กนั้นจะยินยอมหรือไม่ก็ตาม , ถ้าการกระทำความผิดตามวรรคหนึ่งเป็นการกระทำแก่เด็กอายุยังไม่เกินสิบสามปี ถึงแก่ความตาย ผู้ใดข่มขืนกระทำชำเราผู้อื่นโดยขู่เข็ญด้วยประการใด ๆ โดยใช้กำลังประทุษร้ายโดยผู้อื่นนั้นอยู่ในภาวะที่ไม่สามารถขัดขืนได้ หรือโดยทำให้ผู้อื่นนั้นเข้าใจผิดว่าตนเป็นบุคคลอื่น, ผู้ใดกระทำชำเราเด็กอายุยังไม่เกินสิบห้าปีซึ่งมิใช่ภริยาหรือสามีของตน โดยเด็กนั้นจะยินยอมหรือไม่ก็ตาม , ถ้าการกระทำความผิดตามวรรคหนึ่งเป็นการกระทำแก่เด็กอายุยังไม่เกินสิบสามปี รับอันตรายสาหัส ถ้าการกระทำความผิดตามวรรคหนึ่งได้กระทำโดยมีหรือใช้อาวุธปืนหรือวัตถุระเบิด หรือโดยร่วมกระทำความผิดด้วยกันอันมีลักษณะเป็นการโทรมหญิง หรือกระทำกับชายในลักษณะเดียวกัน, กระทำโดยร่วมกระทำความผิดด้วยกัน อันมีลักษณะเป็นการโทรมเด็กหญิงหรือกระทำกับเด็กชายในลักษณะเดียวกันและเด็กนั้นไม่ยินยอม หรือได้กระทำโดยมีอาวุธปืนหรือวัตถุระเบิด หรือโดยใช้อาวุธถึงแก่ความตาย ถ้าการกระทำความผิดตามวรรคหนึ่งได้กระทำโดยมีหรือใช้อาวุธปืนหรือวัตถุระเบิด หรือโดยร่วมกระทำความผิดด้วยกันอันมีลักษณะเป็นการโทรมหญิง หรือกระทำกับชายในลักษณะเดียวกัน, กระทำโดยร่วมกระทำความผิดด้วยกัน อันมีลักษณะเป็นการโทรมเด็กหญิงหรือกระทำกับเด็กชายในลักษณะเดียวกันและเด็กนั้นไม่ยินยอม หรือได้กระทำโดยมีอาวุธปืนหรือวัตถุระเบิด หรือโดยใช้อาวุธผู้ใดกระทำอนาจารแก่บุคคลอายุกว่าสิบห้าปีโดย ขู่เข็ญด้วยประการใด ๆ โดยใช้กำลังประทุษร้าย โดยบุคคลนั้นอยู่ ในภาวะที่ไม่สามารถขัดขืนได้ หรือโดยทำให้บุคคลนั้นเข้าใจผิดว่า ตนเป็นบุคคลอื่นผู้ใดกระทำอนาจารแก่เด็กอายุยังไม่เกินสิบห้าปี โดยเด็กนั้นจะยินยอมหรือไม่ก็ตาม ถ้าการกระทำความผิดตามวรรคแรก ผู้กระทำได้กระทำโดย ขู่เข็ญด้วยประการใดๆ โดยใช้กำลังประทุษร้าย โดยเด็กนั้นอยู่ใน ภาวะที่ไม่สามารถขัดขืนได้ หรือโดยทำให้เด็กนั้นเข้าใจผิดว่าตน เป็นบุคคลอื่นรับอันตรายสาหัสผู้ใดกระทำอนาจารแก่บุคคลอายุกว่าสิบห้าปีโดย ขู่เข็ญด้วยประการใด ๆ โดยใช้กำลังประทุษร้าย โดยบุคคลนั้นอยู่ ในภาวะที่ไม่สามารถขัดขืนได้ หรือโดยทำให้บุคคลนั้นเข้าใจผิดว่า ตนเป็นบุคคลอื่น, ผู้ใดกระทำอนาจารแก่เด็กอายุยังไม่เกินสิบห้าปี โดยเด็กนั้นจะยินยอมหรือไม่ก็ตาม ถ้าการกระทำความผิดตามวรรคแรก ผู้กระทำได้กระทำโดย ขู่เข็ญด้วยประการใดๆ โดยใช้กำลังประทุษร้าย โดยเด็กนั้นอยู่ใน ภาวะที่ไม่สามารถขัดขืนได้ หรือโดยทำให้เด็กนั้นเข้าใจผิดว่าตน เป็นบุคคลอื่นถึงแก่ความตาย ผู้ใดกระทำอนาจารแก่บุคคลอายุกว่าสิบห้าปีโดย ขู่เข็ญด้วยประการใด ๆ โดยใช้กำลังประทุษร้าย โดยบุคคลนั้นอยู่ ในภาวะที่ไม่สามารถขัดขืนได้ หรือโดยทำให้บุคคลนั้นเข้าใจผิดว่า ตนเป็นบุคคลอื่น, ผู้ใดกระทำอนาจารแก่เด็กอายุยังไม่เกินสิบห้าปี โดยเด็กนั้นจะยินยอมหรือไม่ก็ตาม ถ้าการกระทำความผิดตามวรรคแรก ผู้กระทำได้กระทำโดย ขู่เข็ญด้วยประการใดๆ โดยใช้กำลังประทุษร้าย โดยเด็กนั้นอยู่ใน ภาวะที่ไม่สามารถขัดขืนได้ หรือโดยทำให้เด็กนั้นเข้าใจผิดว่าตน เป็นบุคคลอื่นผู้ใดเพื่อสนองความใคร่ของผู้อื่น เป็นธุระจัดหา ล่อไป หรือพาไปเพื่อการอนาจารซึ่งชายหรือหญิง แม้ผู้นั้นจะยินยอมก็ตาม ถ้าการกระทำความผิดตาม วรรคแรกเป็นการกระทำแก่บุคคล อายุเกินสิบห้าปีแต่ยังไม่เกินสิบแปดปีผู้กระทำต้องระวางโทษจำคุก ตั้งแต่สามปีถึงสิบห้าปี และปรับตั้งแต่หกพันบาทถึงสามหมื่นบาท ถ้าการกระทำความผิดตาม วรรคแรกเป็นการกระทำแก่บุคคล อายุไม่เกินสิบห้าปีผู้กระทำ ผู้ใดเพื่อสนองความใคร่ของผู้อื่น รับตัวบุคคลซึ่งมีผู้จัดหา ล่อไป หรือพาไปผู้ใดเพื่อสนองความใคร่ของผู้อื่น เป็นธุระจัดหา ล่อไป หรือพาไปเพื่อการอนาจารซึ่งชายหรือหญิง โดยใช้อุบายหลอกลวง ขู่เข็ญ ใช้กำลังประทุษร้าย ใช้อำนาจครอบงำผิดคลองธรรม หรือใช้วิธีข่มขืนใจด้วยประการอื่นใด ถ้าการกระทำความผิดตาม วรรคแรกเป็นการกระทำแก่บุคคลอายุเกินสิบห้าปีแต่ยังไม่เกินสิบแปดปีผู้กระทำ ถ้าการกระทำความผิดตาม วรรคแรกเป็นการกระทำแก่เด็กอายุไม่เกินสิบห้าปี ผู้ใดเพื่อสนองความใคร่ของผู้อื่น รับตัวบุคคลซึ่งมีผู้จัดหา ล่อไป หรือพาไป"
15,286(1),ผู้ใดอายุกว่าสิบหกปีดำรงชีพอยู่แม้เพียงบางส่วนจากรายได้ของผู้ซึ่งค้าประเวณี ผู้ใดไม่มีปัจจัยอย่างอื่นอันปรากฏสำหรับดำรงชีพ หรือไม่มีปัจจัยอันพอเพียงสำหรับดำรงชีพ และมีพฤติการณ์อย่างหนึ่งอย่างใดต่อไปนี้ ให้ถือว่าผู้นั้นดำรงชีพอยู่จากรายได้ของผู้ซึ่งค้าประเวณี เว้นแต่จะพิสูจน์ให้เป็นที่พอใจได้ว่ามิได้เป็นเช่นนั้นอยู่ร่วมกับผู้ซึ่งค้าประเวณี หรือสมาคมกับผู้ซึ่งค้าประเวณีคนเดียวหรือหลายคนเป็นอาจิณ
16,286(2),ผู้ใดอายุกว่าสิบหกปีดำรงชีพอยู่แม้เพียงบางส่วนจากรายได้ของผู้ซึ่งค้าประเวณี ผู้ใดไม่มีปัจจัยอย่างอื่นอันปรากฏสำหรับดำรงชีพ หรือไม่มีปัจจัยอันพอเพียงสำหรับดำรงชีพ และมีพฤติการณ์อย่างหนึ่งอย่างใดต่อไปนี้ ให้ถือว่าผู้นั้นดำรงชีพอยู่จากรายได้ของผู้ซึ่งค้าประเวณี เว้นแต่จะพิสูจน์ให้เป็นที่พอใจได้ว่ามิได้เป็นเช่นนั้นกินอยู่หลับนอน หรือรับเงิน หรือประโยชน์อย่างอื่น โดยผู้ซึ่งค้าประเวณีเป็นผู้จัดให้
17,286(3),ผู้ใดอายุกว่าสิบหกปีดำรงชีพอยู่แม้เพียงบางส่วนจากรายได้ของผู้ซึ่งค้าประเวณี ผู้ใดไม่มีปัจจัยอย่างอื่นอันปรากฏสำหรับดำรงชีพ หรือไม่มีปัจจัยอันพอเพียงสำหรับดำรงชีพ และมีพฤติการณ์อย่างหนึ่งอย่างใดต่อไปนี้ ให้ถือว่าผู้นั้นดำรงชีพอยู่จากรายได้ของผู้ซึ่งค้าประเวณี เว้นแต่จะพิสูจน์ให้เป็นที่พอใจได้ว่ามิได้เป็นเช่นนั้นเข้าแทรกแซงเพื่อช่วยผู้ซึ่งค้าประเวณีในการทะเลาะวิวาทกับผู้ที่คบค้ากับผู้ซึ่งค้าประเวณีนั้น
18,287(1),เพื่อความประสงค์แห่งการค้า หรือโดยการค้า เพื่อการแจกจ่าย หรือเพื่อการแสดงอวดแก่ประชาชน ทำ ผลิต มีไว้ นำเข้าหรือยังให้นำเข้า ในราชอาณาจักร ส่งออกหรือยังให้ส่งออกไปนอกราชอาณาจักร พาไปหรือ ยังให้พาไปหรือทำให้แพร่หลายโดยประการใด ๆ ซึ่งเอกสาร ภาพเขียน ภาพพิมพ์ ภาพระบายสี สิ่งพิมพ์ รูปภาพ ภาพโฆษณา เครื่องหมาย รูปถ่าย ภาพยนตร์ แถบบันทึกเสียง แถบบันทึกภาพหรือสิ่งอื่นใดอันลามก
19,287(2),ประกอบการค้า หรือมีส่วนหรือเข้าเกี่ยวข้องกับการค้าเกี่ยวกับ วัตถุหรือสิ่งของลามกดังกล่าวแล้ว จ่ายแจกหรือแสดงอวดแก่ประชาชน หรือให้เช่นวัตถุหรือสิ่งของเช่นว่านั้น
20,287(3),เพื่อจะช่วยการทำให้แพร่หลาย หรือการค้าวัตถุหรือสิ่งของลามก ดังกล่าวแล้ว โฆษณาหรือไขข่าวโดยประการใด ๆ ว่ามีบุคคลกระทำการ อันเป็นความผิดตาม มาตรานี้ หรือโฆษณาหรือไขข่าวว่าวัตถุ หรือสิ่งของ ลามกดังกล่าวแล้วจะหาได้จากบุคคลใด หรือโดยวิธีใด
21,288,ผู้ใดฆ่าผู้อื่น 
22,289(1),ฆ่าบุพการี
23,289(2),ฆ่าเจ้าพนักงาน ซึ่งกระทำการตามหน้าที่ หรือเพราะเหตุ ที่จะกระทำ หรือได้กระทำการตามหน้าที่
24,289(3),ฆ่าผู้ช่วยเหลือเจ้าพนักงานในการที่เจ้าพนักงานนั้นกระทำ ตามหน้าที่ หรือเพราะเหตุที่บุคคลนั้นจะช่วยหรือได้ช่วยเจ้าพนักงาน ดังกล่าวแล้ว
25,289(4),ฆ่าผู้อื่นโดยไตร่ตรองไว้ก่อน
26,289(5),ฆ่าผู้อื่นโดยทรมานหรือโดยกระทำทารุณโหดร้าย
27,289(6),ฆ่าผู้อื่นเพื่อตระเตรียมการ หรือเพื่อความสะดวกในการ ที่จะกระทำความผิดอย่างอื่น
28,289(7),ฆ่าผู้อื่นเพื่อจะเอาหรือเอาไว้ซึ่งผลประโยชน์อันเกิดแต่การที่ ตนได้กระทำความผิดอื่น เพื่อปกปิดความผิดอื่นของตนหรือเพื่อ หลีกเลี่ยงให้พ้นอาญาในความผิดที่ตนได้กระทำไว้
