,NO,Text
95,337(2),ผู้ใดข่มขืนใจผู้อื่นให้ยอมให้หรือยอมจะให้ตนหรือผู้อื่น ได้ประโยชน์ในลักษณะที่เป็นทรัพย์สิน โดยใช้กำลังประทุษร้ายหรือ โดยขู่เข็ญว่าจะทำอันตรายต่อชีวิต ร่างกาย เสรีภาพ ชื่อเสียงหรือ ทรัพย์สินของผู้ถูกขู่เข็ญ หรือของบุคคลที่สาม จนผู้ถูกข่มขืนใจยอม เช่นว่านั้น ผู้นั้นกระทำความผิดฐานกรรโชก มีอาวุธติดตัวมาขู่เข็ญ
96,338,ผู้ใดข่มขืนใจผู้อื่นให้ยอมให้หรือยอมจะให้ตนหรือผู้อื่น ได้ประโยชน์ในลักษณะที่เป็นทรัพย์สิน โดยการขู่เข็ญว่าจะเปิดเผย ความลับซึ่งการเปิดเผยนั้นจะทำให้ผู้ถูกขู่เข็ญหรือบุคคลที่สามเสียหาย จนผู้ถูกข่มขืนใจยอมเช่นว่านั้น ผู้นั้นกระทำความผิดฐานรีดเอาทรัพย์
97,339(1),ผู้ใดลักทรัพย์โดยใช้กำลังประทุษร้าย หรือขู่เข็ญว่า ในทันใดนั้นจะใช้กำลังประทุษร้าย เพื่อให้ความสะดวกแก่การลักทรัพย์หรือการพาทรัพย์นั้นไป ผู้นั้นกระทำความผิดฐานชิงทรัพย์
98,339(2),ผู้ใดลักทรัพย์โดยใช้กำลังประทุษร้าย หรือขู่เข็ญว่า ในทันใดนั้นจะใช้กำลังประทุษร้าย เพื่อให้ยื่นให้ซึ่งทรัพย์นั้น ผู้นั้นกระทำความผิดฐานชิงทรัพย์
99,339(3),ผู้ใดลักทรัพย์โดยใช้กำลังประทุษร้าย หรือขู่เข็ญว่า ในทันใดนั้นจะใช้กำลังประทุษร้าย เพื่อยึดถือเอาทรัพย์นั้นไว้ ผู้นั้นกระทำความผิดฐานชิงทรัพย์
100,339(4),ผู้ใดลักทรัพย์โดยใช้กำลังประทุษร้าย หรือขู่เข็ญว่า ในทันใดนั้นจะใช้กำลังประทุษร้าย เพื่อปกปิดการกระทำความผิดนั้น ผู้นั้นกระทำความผิดฐานชิงทรัพย์
101,339(5),ผู้ใดลักทรัพย์โดยใช้กำลังประทุษร้าย หรือขู่เข็ญว่า ในทันใดนั้นจะใช้กำลังประทุษร้าย เพื่อให้พ้นจากการจับกุม ผู้นั้นกระทำความผิดฐานชิงทรัพย์
102,340,ผู้ใดชิงทรัพย์โดยร่วมกันกระทำความผิดด้วยกันตั้งแต่ สามคนขึ้นไป ผู้นั้นกระทำความผิดฐานปล้นทรัพย์ ถ้าในการปล้นทรัพย์ผู้กระทำแม้แต่คนหนึ่งคนใด มีอาวุธติดตัวไป ถ้าการปล้นทรัพย์เป็นเหตุให้ผู้อื่นรับอันตรายสาหัส ถ้าการปล้นทรัพย์ได้กระทำโดยแสดงความทารุณ จนเป็นเหตุให้ ผู้อื่นรับอันตรายแก่กายหรือจิตใจ ใช้ปืนยิง ใช้วัตถุระเบิดหรือกระทำ ทรมานผู้ ถ้าการปล้นทรัพย์เป็นเหตุให้ผู้อื่นถึงแก่ความตาย
103,340ทวิ,ถ้าการปล้นทรัพย์ได้กระทำต่อทรัพย์ตาม ผู้ใดลักทรัพย์ที่เป็นพระพุทธรูปหรือวัตถุใน ทางศาสนา ถ้าทรัพย์นั้นเป็นที่สักการะบูชาของประชาชน หรือเก็บ รักษาไว้เป็นสมบัติของชาติ หรือส่วนหนึ่งส่วนใดของพระพุทธรูป หรือวัตถุดังกล่าว
104,341,ผู้ใดโดยทุจริต หลอกลวงผู้อื่นด้วยการแสดงข้อความ อันเป็นเท็จ หรือปกปิดข้อความจริงซึ่งควรบอกให้แจ้งและโดยการหลอก ลวงดังว่านั้นได้ไปซึ่งทรัพย์สินจากผู้ถูกหลอกลวง หรือบุคคลที่สามหรือ ทำให้ผู้ถูกหลอกลวงหรือบุคคลที่สามทำ ถอนหรือทำลายเอกสารสิทธิ ผู้นั้นกระทำความผิดฐานฉ้อโกง
105,342(1),ถ้าในการกระทำความผิดฐานฉ้อโกง ผู้กระทำแสดงตนเป็นคนอื่น
106,342(2),ถ้าในการกระทำความผิดฐานฉ้อโกง อาศัยความเบาปัญญาของผู้ถูกหลอกลวงซึ่งเป็นเด็ก หรืออาศัย ความอ่อนแอทางจิตของผู้ถูกหลอกลวง
107,343,ถ้าการกระทำความผิดตาม ได้กระทำ ด้วยการแสดงข้อความอันเป็นเท็จต่อประชาชน หรือด้วยการปกปิด ความจริง ซึ่งควรบอกให้แจ้งแก่ประชาชน
108,344,ผู้ใดโดยทุจริต หลอกลวงบุคคลตั้งแต่สิบคนขึ้นไป ให้ประกอบการงานอย่างใด ๆ ให้แก่ตนหรือให้บุคคลที่สามโดยจะ ไม่ใช้ค่าแรงงานหรือค่าจ้างแก่บุคคลเหล่านั้น หรือโดยจะใช้ค่าแรงงาน หรือค่าจ้างแก่บุคคลเหล่านั้นต่ำกว่าที่ตกลงกัน 
109,345,ผู้ใดสั่งซื้อและบริโภคอาหารหรือเครื่องดื่มหรือเข้าอยู่ ในโรงแรม โดยรู้ว่าตนไม่สามารถชำระเงินค่าอาหาร ค่าเครื่องดื่ม หรือ ค่าอยู่ในโรงแรมนั้น
110,346,ผู้ใดเพื่อเอาทรัพย์สินของผู้อื่นเป็นของตนหรือของ บุคคลที่สาม ชักจูงผู้หนึ่งผู้ใดให้จำหน่ายโดยเสียเปรียบซึ่งทรัพย์สิน โดยอาศัยเหตุที่ผู้ถูกชักจูงมีจิตอ่อนแอหรือเป็นเด็กเบาปัญญา และ ไม่สามารถเข้าใจตามควรซึ่งสารสำคัญแห่งการกระทำของตน จนผู้ ถูกชักจูงจำหน่ายซึ่งทรัพย์สินนั้น
111,347,ผู้ใดเพื่อให้ตนเองหรือผู้อื่นได้รับประโยชน์จากการ ประกันวินาศภัย แกล้งทำให้เกิดเสียหายแต่ทรัพย์สินอันเป็นวัตถุที่ เอาประกันภัย
112,349,ผู้ใดเอาไปเสีย ทำให้เสียหาย ทำลาย ทำให้เสื่อมค่า หรือทำให้ไร้ประโยชน์ ซึ่งทรัพย์อันตนจำนำไว้แก่ผู้อื่น ถ้าได้กระทำ เพื่อให้เกิดความเสียหายแก่ผู้รับจำนำ
113,350,ผู้ใดเพื่อมิให้เจ้าหนี้ของตนหรือของผู้อื่นได้รับชำระ หนี้ทั้งหมดหรือแต่บางส่วน ซึ่งได้ใช้หรือจะใช้สิทธิเรียกร้องทางศาล ให้ชำระหนี้ ย้ายไปเสีย ซ่อนเร้นหรือโอนไปให้ผู้อื่นซึ่งทรัพย์ใดก็ดี แกล้งให้ตนเองเป็นหนี้จำนวนใดอันไม่เป็นความจริงก็ดี
114,352,ผู้ใดครอบครองทรัพย์ซึ่งเป็นของผู้อื่น หรือซึ่งผู้อื่น เป็นเจ้าของรวมอยู่ด้วย เบียดบังเอาทรัพย์นั้นเป็นของตนหรือบุคคล ที่สามโดยทุจริต ผู้นั้นกระทำความผิดฐานยักยอก ถ้าทรัพย์นั้นได้ตกมาอยู่ในความครอบครองของผู้กระทำความผิด เพราะผู้อื่นส่งมอบให้โดยสำคัญผิดไปด้วยประการใด หรือเป็นทรัพย์ สินหายซึ่งผู้กระทำความผิดเก็บได้
115,353,ผู้ใดได้รับมอบหมายให้จัดการทรัพย์สินของผู้อื่นหรือ ทรัพย์สินซึ่งผู้อื่นเป็นเจ้าของรวมอยู่ด้วย กระทำผิดหน้าที่ของตนด้วย ประการใด ๆ โดยทุจริต จนเป็นเหตุให้เกิดความเสียหายแก่ประโยชน์ ในลักษณะที่เป็นทรัพย์สินของผู้นั้น
116,354,ผู้ใดครอบครองทรัพย์ซึ่งเป็นของผู้อื่น หรือซึ่งผู้อื่น เป็นเจ้าของรวมอยู่ด้วย เบียดบังเอาทรัพย์นั้นเป็นของตนหรือบุคคล ที่สามโดยทุจริต ผู้นั้นกระทำความผิดฐานยักยอก ถ้าทรัพย์นั้นได้ตกมาอยู่ในความครอบครองของผู้กระทำความผิด เพราะผู้อื่นส่งมอบให้โดยสำคัญผิดไปด้วยประการใด หรือเป็นทรัพย์ สินหายซึ่งผู้กระทำความผิดเก็บได้ผู้ใดได้รับมอบหมายให้จัดการทรัพย์สินของผู้อื่นหรือ ทรัพย์สินซึ่งผู้อื่นเป็นเจ้าของรวมอยู่ด้วย กระทำผิดหน้าที่ของตนด้วย ประการใด ๆ โดยทุจริต จนเป็นเหตุให้เกิดความเสียหายแก่ประโยชน์ ในลักษณะที่เป็นทรัพย์สินของผู้นั้น
117,355,ผู้ใดเก็บได้ซึ่งสังหาริมทรัพย์อันมีค่า อันซ่อนหรือฝัง ไว้โดยพฤติการณ์ซึ่งไม่มีผู้ใดอ้างว่าเป็นเจ้าของได้ แล้วเบียดบังเอา ทรัพย์นั้นเป็นของตนหรือของผู้อื่น
118,357,ผู้ใดลักทรัพย์  ที่ใช้หรือมีไว้เพื่อสาธารณประโยชน์
119,358,ผู้ใดทำให้เสียหาย ทำลาย ทำให้เสื่อมค่าหรือทำให้ ไร้ประโยชน์ ซึ่งทรัพย์ของผู้อื่นหรือผู้อื่นเป็นเจ้าของรวมอยู่ด้วย ผู้นั้นกระทำความผิดฐานทำให้เสียทรัพย์
120,359(1),ผู้ใดทำให้เสียหาย ทำลาย ทำให้เสื่อมค่าหรือทำให้ ไร้ประโยชน์ ซึ่งทรัพย์ของผู้อื่นหรือผู้อื่นเป็นเจ้าของรวมอยู่ด้วย ผู้นั้นกระทำความผิดฐานทำให้เสียทรัพย์
121,359(2),ผู้ใดทำให้เสียหาย ทำลาย ทำให้เสื่อมค่าหรือทำให้ ไร้ประโยชน์ ซึ่งทรัพย์ของผู้อื่นหรือผู้อื่นเป็นเจ้าของรวมอยู่ด้วย ผู้นั้นกระทำความผิดฐานทำให้เสียทรัพย์
122,359(3),ผู้ใดทำให้เสียหาย ทำลาย ทำให้เสื่อมค่าหรือทำให้ ไร้ประโยชน์ ซึ่งทรัพย์ของผู้อื่นหรือผู้อื่นเป็นเจ้าของรวมอยู่ด้วย ผู้นั้นกระทำความผิดฐานทำให้เสียทรัพย์
123,359(4),ผู้ใดทำให้เสียหาย ทำลาย ทำให้เสื่อมค่าหรือทำให้ ไร้ประโยชน์ ซึ่งทรัพย์ของผู้อื่นหรือผู้อื่นเป็นเจ้าของรวมอยู่ด้วย ผู้นั้นกระทำความผิดฐานทำให้เสียทรัพย์
124,360,ผู้ใดทำให้เสียหาย ทำลาย ทำให้เสื่อมค่าหรือทำให้ ไร้ประโยชน์ซึ่งทรัพย์ที่ใช้หรือมีไว้เพื่อสาธารณประโยชน์
125,362,ผู้ใดเข้าไปในอสังหาริมทรัพย์ของผู้อื่นเพื่อถือการ ครอบครองอสังหาริมทรัพย์นั้นทั้งหมดหรือแต่บางส่วน หรือเข้าไป กระทำการใด ๆ อันเป็นการรบกวนการครอบครองอสังหาริมทรัพย์ ของเขาโดยปกติสุข
126,363,ผู้ใดเพื่อถือเอาอสังหาริมทรัพย์ของผู้อื่นเป็นของตน หรือของบุคคลที่สาม ยักย้ายหรือทำลายเครื่องหมายเขตแห่ง อสังหาริมทรัพย์นั้นทั้งหมดหรือแต่บางส่วน
127,364,ผู้ใดโดยไม่มีเหตุอันสมควรเข้าไป หรือซ่อนตัวอยู่ใน เคหสถาน อาคารเก็บรักษาทรัพย์หรือสำนักงานในความครอบครอง ของผู้อื่น หรือไม่ยอมออกไปจากสถานที่เช่นว่านั้น เมื่อผู้มีสิทธิที่จะ ห้ามมิให้เข้าไปได้ไล่ให้ออก
128,365(1),ผู้ใดเข้าไปในอสังหาริมทรัพย์ของผู้อื่นเพื่อถือการ ครอบครองอสังหาริมทรัพย์นั้นทั้งหมดหรือแต่บางส่วน หรือเข้าไป กระทำการใด ๆ อันเป็นการรบกวนการครอบครองอสังหาริมทรัพย์ ของเขาโดยปกติสุขผู้ใดเพื่อถือเอาอสังหาริมทรัพย์ของผู้อื่นเป็นของตน หรือของบุคคลที่สาม ยักย้ายหรือทำลายเครื่องหมายเขตแห่ง อสังหาริมทรัพย์นั้นทั้งหมดหรือแต่บางส่วนผู้ใดโดยไม่มีเหตุอันสมควรเข้าไป หรือซ่อนตัวอยู่ใน เคหสถาน อาคารเก็บรักษาทรัพย์หรือสำนักงานในความครอบครอง ของผู้อื่น หรือไม่ยอมออกไปจากสถานที่เช่นว่านั้น เมื่อผู้มีสิทธิที่จะ ห้ามมิให้เข้าไปได้ไล่ให้ออก
129,365(2),ผู้ใดเข้าไปในอสังหาริมทรัพย์ของผู้อื่นเพื่อถือการ ครอบครองอสังหาริมทรัพย์นั้นทั้งหมดหรือแต่บางส่วน หรือเข้าไป กระทำการใด ๆ อันเป็นการรบกวนการครอบครองอสังหาริมทรัพย์ ของเขาโดยปกติสุขผู้ใดเพื่อถือเอาอสังหาริมทรัพย์ของผู้อื่นเป็นของตน หรือของบุคคลที่สาม ยักย้ายหรือทำลายเครื่องหมายเขตแห่ง อสังหาริมทรัพย์นั้นทั้งหมดหรือแต่บางส่วนผู้ใดโดยไม่มีเหตุอันสมควรเข้าไป หรือซ่อนตัวอยู่ใน เคหสถาน อาคารเก็บรักษาทรัพย์หรือสำนักงานในความครอบครอง ของผู้อื่น หรือไม่ยอมออกไปจากสถานที่เช่นว่านั้น เมื่อผู้มีสิทธิที่จะ ห้ามมิให้เข้าไปได้ไล่ให้ออก
130,365(3),ผู้ใดเข้าไปในอสังหาริมทรัพย์ของผู้อื่นเพื่อถือการ ครอบครองอสังหาริมทรัพย์นั้นทั้งหมดหรือแต่บางส่วน หรือเข้าไป กระทำการใด ๆ อันเป็นการรบกวนการครอบครองอสังหาริมทรัพย์ ของเขาโดยปกติสุขผู้ใดเพื่อถือเอาอสังหาริมทรัพย์ของผู้อื่นเป็นของตน หรือของบุคคลที่สาม ยักย้ายหรือทำลายเครื่องหมายเขตแห่ง อสังหาริมทรัพย์นั้นทั้งหมดหรือแต่บางส่วนผู้ใดโดยไม่มีเหตุอันสมควรเข้าไป หรือซ่อนตัวอยู่ใน เคหสถาน อาคารเก็บรักษาทรัพย์หรือสำนักงานในความครอบครอง ของผู้อื่น หรือไม่ยอมออกไปจากสถานที่เช่นว่านั้น เมื่อผู้มีสิทธิที่จะ ห้ามมิให้เข้าไปได้ไล่ให้ออก
