NO,TextOnThisLaw,TextMustHave_chooseone
313(2),ผู้ใดเพื่อให้ได้มาซึ่งค่าไถ่ เอาตัวบุคคลอายุกว่าสิบห้าปีไป โดยใช้อุบายหลอกลวง ขู่เข็ญ ใช้กำลังประทุษร้าย ใช้อำนาจครอบงำผิดคลองธรรม หรือใช้วิธีข่มขืนใจ ด้วยประการอื่นใด ถ้าการกระทำความผิดตามวรรคแรกเป็นเหตุให้ผู้ถูกเอาตัวไป ผู้ถูก หน่วงเหนี่ยวหรือผู้ถูกกักขังนั้นรับอันตรายสาหัสหรือเป็นการกระทำโดย ทรมานหรือโดยทารุณโหดร้าย จนเป็นเหตุให้ผู้ถูกกระทำนั้นรับอันตราย แก่กาย หรือจิตใจ ถ้าการกระทำความผิดนั้นเป็นเหตุให้ผู้ถูกเอาตัวไปผู้ถูกหน่วงเหนี่ยว หรือผู้ถูกกักขังนั้นถึงแก่ความตาย,-
313(3),ผู้ใดเพื่อให้ได้มาซึ่งค่าไถ่ หน่วงเหนี่ยวหรือกักขังบุคคลใด ถ้าการกระทำความผิดตามวรรคแรกเป็นเหตุให้ผู้ถูกเอาตัวไป ผู้ถูก หน่วงเหนี่ยวหรือผู้ถูกกักขังนั้นรับอันตรายสาหัสหรือเป็นการกระทำโดย ทรมานหรือโดยทารุณโหดร้าย จนเป็นเหตุให้ผู้ถูกกระทำนั้นรับอันตราย แก่กาย หรือจิตใจ ถ้าการกระทำความผิดนั้นเป็นเหตุให้ผู้ถูกเอาตัวไปผู้ถูกหน่วงเหนี่ยว หรือผู้ถูกกักขังนั้นถึงแก่ความตาย,-
314,ผู้ใดเป็นผู้สนับสนุนในการกระทำความผิดตาม ,"ผู้ใดเพื่อให้ได้มาซึ่งค่าไถ่ เอาตัวเด็กอายุไม่เกินสิบห้าปีไป ถ้าการกระทำความผิดตามวรรคแรกเป็นเหตุให้ผู้ถูกเอาตัวไป ผู้ถูก หน่วงเหนี่ยวหรือผู้ถูกกักขังนั้นรับอันตรายสาหัสหรือเป็นการกระทำโดย ทรมานหรือโดยทารุณโหดร้าย จนเป็นเหตุให้ผู้ถูกกระทำนั้นรับอันตราย แก่กาย หรือจิตใจ ถ้าการกระทำความผิดนั้นเป็นเหตุให้ผู้ถูกเอาตัวไปผู้ถูกหน่วงเหนี่ยว หรือผู้ถูกกักขังนั้นถึงแก่ความตาย, ผู้ใดเพื่อให้ได้มาซึ่งค่าไถ่ เอาตัวบุคคลอายุกว่าสิบห้าปีไป โดยใช้อุบายหลอกลวง ขู่เข็ญ ใช้กำลังประทุษร้าย ใช้อำนาจครอบงำผิดคลองธรรม หรือใช้วิธีข่มขืนใจ ด้วยประการอื่นใด ถ้าการกระทำความผิดตามวรรคแรกเป็นเหตุให้ผู้ถูกเอาตัวไป ผู้ถูก หน่วงเหนี่ยวหรือผู้ถูกกักขังนั้นรับอันตรายสาหัสหรือเป็นการกระทำโดย ทรมานหรือโดยทารุณโหดร้าย จนเป็นเหตุให้ผู้ถูกกระทำนั้นรับอันตราย แก่กาย หรือจิตใจ ถ้าการกระทำความผิดนั้นเป็นเหตุให้ผู้ถูกเอาตัวไปผู้ถูกหน่วงเหนี่ยว หรือผู้ถูกกักขังนั้นถึงแก่ความตาย, ผู้ใดเพื่อให้ได้มาซึ่งค่าไถ่ หน่วงเหนี่ยวหรือกักขังบุคคลใด ถ้าการกระทำความผิดตามวรรคแรกเป็นเหตุให้ผู้ถูกเอาตัวไป ผู้ถูก หน่วงเหนี่ยวหรือผู้ถูกกักขังนั้นรับอันตรายสาหัสหรือเป็นการกระทำโดย ทรมานหรือโดยทารุณโหดร้าย จนเป็นเหตุให้ผู้ถูกกระทำนั้นรับอันตราย แก่กาย หรือจิตใจ ถ้าการกระทำความผิดนั้นเป็นเหตุให้ผู้ถูกเอาตัวไปผู้ถูกหน่วงเหนี่ยว หรือผู้ถูกกักขังนั้นถึงแก่ความตาย"
315,ผู้ใดกระทำการเป็นคนกลาง โดยเรียก รับหรือยอมจะรับ ทรัพย์สินหรือประโยชน์อย่างใดที่มิควรได้ จากผู้กระทำความผิดตาม หรือจากผู้ที่จะให้ค่าไถ่,"ผู้ใดเพื่อให้ได้มาซึ่งค่าไถ่ เอาตัวเด็กอายุไม่เกินสิบห้าปีไป ถ้าการกระทำความผิดตามวรรคแรกเป็นเหตุให้ผู้ถูกเอาตัวไป ผู้ถูก หน่วงเหนี่ยวหรือผู้ถูกกักขังนั้นรับอันตรายสาหัสหรือเป็นการกระทำโดย ทรมานหรือโดยทารุณโหดร้าย จนเป็นเหตุให้ผู้ถูกกระทำนั้นรับอันตราย แก่กาย หรือจิตใจ ถ้าการกระทำความผิดนั้นเป็นเหตุให้ผู้ถูกเอาตัวไปผู้ถูกหน่วงเหนี่ยว หรือผู้ถูกกักขังนั้นถึงแก่ความตาย, ผู้ใดเพื่อให้ได้มาซึ่งค่าไถ่ เอาตัวบุคคลอายุกว่าสิบห้าปีไป โดยใช้อุบายหลอกลวง ขู่เข็ญ ใช้กำลังประทุษร้าย ใช้อำนาจครอบงำผิดคลองธรรม หรือใช้วิธีข่มขืนใจ ด้วยประการอื่นใด ถ้าการกระทำความผิดตามวรรคแรกเป็นเหตุให้ผู้ถูกเอาตัวไป ผู้ถูก หน่วงเหนี่ยวหรือผู้ถูกกักขังนั้นรับอันตรายสาหัสหรือเป็นการกระทำโดย ทรมานหรือโดยทารุณโหดร้าย จนเป็นเหตุให้ผู้ถูกกระทำนั้นรับอันตราย แก่กาย หรือจิตใจ ถ้าการกระทำความผิดนั้นเป็นเหตุให้ผู้ถูกเอาตัวไปผู้ถูกหน่วงเหนี่ยว หรือผู้ถูกกักขังนั้นถึงแก่ความตาย, ผู้ใดเพื่อให้ได้มาซึ่งค่าไถ่ หน่วงเหนี่ยวหรือกักขังบุคคลใด ถ้าการกระทำความผิดตามวรรคแรกเป็นเหตุให้ผู้ถูกเอาตัวไป ผู้ถูก หน่วงเหนี่ยวหรือผู้ถูกกักขังนั้นรับอันตรายสาหัสหรือเป็นการกระทำโดย ทรมานหรือโดยทารุณโหดร้าย จนเป็นเหตุให้ผู้ถูกกระทำนั้นรับอันตราย แก่กาย หรือจิตใจ ถ้าการกระทำความผิดนั้นเป็นเหตุให้ผู้ถูกเอาตัวไปผู้ถูกหน่วงเหนี่ยว หรือผู้ถูกกักขังนั้นถึงแก่ความตาย"
316,จัดให้ผู้ถูกเอาตัวไป ผู้ถูกหน่วงเหนี่ยวหรือผู้ถูกกักขังได้รับ เสรีภาพก่อนศาลชั้นต้นพิพากษา โดยผู้นั้นมิได้รับอันตรายสาหัสหรือตกอยู่ ในภาวะอันใกล้จะเป็นอันตรายต่อชีวิต,"314, 315"
317,ใดโดยปราศจากเหตุอันสมควร พรากเด็กอายุยังไม่เกิน สิบห้าปีไปเสียจากบิดามารดา ผู้ปกครอง หรือผู้ดูแล ผู้ใดโดยทุจริต ซื้อ จำหน่าย หรือรับตัวเด็กซึ่งถูกพรากตามวรรคแรก ต้องระวางโทษเช่นเดียวกับผู้พรากนั้น ถ้าความผิดตาม มาตรานี้ ได้กระทำเพื่อหากำไร หรือเพื่อการอนาจาร ,-
318,ผู้ใดพรากผู้เยาว์อายุกว่าสิบห้าปี แต่ยังไม่เกินสิบแปดปี ไปเสียจากบิดามารดา ผู้ปกครอง หรือผู้ดูแล โดยผู้เยาว์นั้นไม่เต็มใจไปด้วย ผู้ใดโดยทุจริต ซื้อ จำหน่าย หรือรับตัวผู้เยาว์ซึ่งถูกพรากตามวรรคแรก ต้องระวางโทษเช่นเดียวกับผู้พรากนั้น ถ้าความผิดตาม มาตรานี้ ได้กระทำเพื่อหากำไร หรือเพื่อการอนาจาร,-
319,ผู้ใดพรากผู้เยาว์อายุกว่าสิบห้าปี แต่ยังไม่เกินสิบแปดปีไป เสียจากบิดามารดา ผู้ปกครอง หรือผู้ดูแล เพื่อหากำไรหรือเพื่อการอนาจาร โดยผู้เยาว์นั้นเต็มใจไปด้วย ผู้ใดโดยทุจริต ซื้อ จำหน่าย หรือรับตัวผู้เยาว์ซึ่งถูกพราก,-
320,ผู้ใดใช้อุบายหลอกลวง ขู่เข็ญ ใช้กำลังประทุษร้าย ใช้อำนาจครอบงำผิดคลองธรรม หรือใช้วิธีข่มขืนใจด้วยประการอื่นใด พาหรือส่งคนออกไปนอกราชอาณาจักร ถ้าการกระทำความผิดตามวรรคแรก ได้กระทำเพื่อให้ผู้ถูกพาหรือ ส่งไปนั้นตกอยู่ในอำนาจของผู้อื่นโดยมิชอบด้วยกฎหมาย หรือเพื่อละทิ้ง ให้เป็นคนอนาถา,-
322,ผู้ใดเปิดผนึกหรือเอาจดหมาย โทรเลขหรือเอกสารใด ๆ ซึ่งปิดผนึกของผู้อื่นไป เพื่อล่วงรู้ข้อความก็ดี เพื่อนำข้อความในจดหมาย โทรเลข หรือเอกสารเช่นว่านั้นออกเปิดเผยก็ดี ถ้าการกระทำนั้นน่าจะเกิด ความเสียหายแก่ผู้หนึ่งผู้ใด,-
323,ผู้ใดล่วงรู้หรือได้มาซึ่งความลับของผู้อื่น โดยเหตุ ที่เป็นเจ้าพนักงานผู้มีหน้าที่ โดยเหตุที่ประกอบอาชีพเป็นแพทย์ เภสัชกร คนจำหน่ายยา นางผดุงครรภ์ ผู้พยาบาล นักบวช หมอความ ทนายความ หรือผู้สอบบัญชีหรือโดยเหตุที่เป็นผู้ช่วยในการประกอบ อาชีพนั้น แล้วเปิดเผยความลับนั้นในประการที่น่าจะเกิดความเสียหาย แก่ผู้หนึ่งผู้ใด ผู้รับการศึกษาอบรมในอาชีพดังกล่าวในวรรคแรก เปิดเผยความลับ ของผู้อื่น อันตนได้ล่วงรู้หรือได้มาในการศึกษาอบรมนั้น ในประการ ที่น่าจะเกิดความเสียหายแต่ผู้หนึ่งผู้ใด,-
324,ผู้ใดโดยเหตุที่ตนมีตำแหน่งหน้าที่ วิชาชีพ หรือ อาชีพอันเป็นที่ไว้วางใจ ล่วงรู้หรือได้มาซึ่งความลับของผู้อื่นเกี่ยว กับอุตสาหกรรม การค้นพบ หรือการนิมิตในวิทยาศาสตร์ เปิดเผยหรือ ใช้ความลับนั้น เพื่อประโยชน์ตนเองหรือผู้อื่น,-
326,ผู้ใดใส่ความผู้อื่นต่อบุคคลที่สาม โดยประการที่น่าจะ ทำให้ผู้อื่นนั้นเสียชื่อเสียง ถูกดูหมิ่นหรือถูกเกลียดชัง ผู้นั้นกระทำ ความผิดฐานหมิ่นประมาท,-
327,ผู้ใดใส่ความผู้ตายต่อบุคคลที่สามและการใส่ความนั้น น่าจะเป็นเหตุให้ บิดา มารดา คู่สมรส หรือบุตรของผู้ตายเสียชื่อเสียง ถูกดูหมิ่นหรือถูกเกลียดชัง ผู้นั้นกระทำความผิดฐานหมิ่นประมาท,-
328,ถ้าความผิดฐานหมิ่นประมาทได้กระทำโดยการโฆษณา ด้วยเอกสาร ภาพวาด ภาพระบายสี ภาพยนตร์ ภาพหรือตัวอักษรที่ ทำให้ปรากฏด้วยวิธีใด ๆ แผ่นเสียง หรือสิ่งบันทึกเสียง บันทึกภาพ หรือบันทึกอักษร กระทำโดยการกระจายเสียง หรือการกระจายภาพ หรือโดยกระทำการป่าวประกาศด้วยวิธีอื่น,-
334,ผู้ใดเอาทรัพย์ของผู้อื่น หรือที่ผู้อื่นเป็นเจ้าของรวม อยู่ด้วยไปโดยทุจริต,-
335,ผู้ใดลักทรัพย์,-
335(1),ผู้ใดลักทรัพย์ ในเวลากลางคืน,-
335(2),ผู้ใดลักทรัพย์ ในที่หรือบริเวณที่มีเหตุเพลิงไหม้ การระเบิด อุทกภัย หรือ ในที่หรือบริเวณที่มีอุบัติเหตุ เหตุทุกขภัยแก่รถไฟ หรือยานพาหนะ อื่นที่ประชาชนโดยสาร หรือภัยพิบัติอื่นทำนองเดียวกันหรืออาศัย โอกาสที่มีเหตุเช่นว่านั้น หรืออาศัยโอกาสที่ประชาชนกำลังตื่นกลัว ภยันตรายใด ๆ,-
335(3),ผู้ใดลักทรัพย์ โดยทำอันตรายสิ่งกีดกั้นสำหรับคุ้มครองบุคคลหรือทรัพย์ หรือโดยผ่านสิ่งเช่นว่านั้นเข้าไปด้วยประการใด ๆ,-
335(4),ผู้ใดลักทรัพย์ โดยเข้าทางช่องทางซึ่งได้ทำขึ้นโดยไม่ได้จำนงให้เป็นทาง คนเข้า หรือเข้าทางช่องทางซึ่งผู้เป็นใจเปิดไว้ให้,-
335(5),ผู้ใดลักทรัพย์ โดยแปลงตัวหรือปลอมตัวเป็นผู้อื่น มอมหน้าหรือทำด้วย ประการอื่นเพื่อไม่ให้เห็นหรือจำหน้าได้,-
335(6),ผู้ใดลักทรัพย์ โดยลวงว่าเป็นเจ้าพนักงาน,-
335(7),ผู้ใดลักทรัพย์ โดยมีอาวุธ หรือโดยร่วมกระทำความผิดด้วยกันตั้งแต่สอง คนขึ้นไป,-
335(8),ผู้ใดลักทรัพย์ ในเคหสถาน สถานที่ราชการหรือสถานที่ที่จัดไว้เพื่อให้ บริการสาธารณที่ตนได้เข้าไปโดยไม่ได้รับอนุญาต หรือซ่อนตัวอยู่ ในสถานที่นั้น ๆ,-
335(9),ผู้ใดลักทรัพย์ ในสถานที่บูชาสาธารณ สถานีรถไฟ ท่าอากาศยานที่จอดรถ หรือเรือสาธารณ สาธารณสถานสำหรับขนถ่ายสินค้า หรือในยวดยานสาธารณ,-
335(10),ผู้ใดลักทรัพย์  ที่ใช้หรือมีไว้เพื่อสาธารณประโยชน์,-
335(11),ผู้ใดลักทรัพย์ ที่เป็นของนายจ้างหรือที่อยู่ในความครอบครองของนายจ้าง,-
335(12),ผู้ใดลักทรัพย์ ที่เป็นของผู้มีอาชีพกสิกรรม บรรดาที่เป็นผลิตภัณฑ์ พืชพันธุ์ สัตว์หรือเครื่องมืออันมีไว้สำหรับประกอบกสิกรรมหรือได้มา จากการกสิกรรมนั้น,-
335ทวิ,ผู้ใดลักทรัพย์ที่เป็นพระพุทธรูปหรือวัตถุใน ทางศาสนา ถ้าทรัพย์นั้นเป็นที่สักการะบูชาของประชาชน หรือเก็บ รักษาไว้เป็นสมบัติของชาติ หรือส่วนหนึ่งส่วนใดของพระพุทธรูป หรือวัตถุ ถ้าการกระทำความผิดตามวรรคแรก ได้กระทำในวัด สำนักสงฆ์ สถานอันเป็นที่เคารพในทางศาสนา โบราณสถานอันเป็นทรัพย์สินของ แผ่นดิน สถานที่ราชการหรือพิพิธภัณฑสถานแห่งชาติ,-
336,ผู้ใดลักทรัพย์โดยฉกฉวยเอาซึ่งหน้า ผู้นั้นกระทำ ความผิดฐานวิ่งราวทรัพย์ ถ้าการวิ่งราวทรัพย์เป็นเหตุให้ผู้อื่นรับอันตรายแก่กายหรือจิตใจ ถ้าการวิ่งราวทรัพย์เป็นเหตุให้ผู้อื่นรับอันตรายสาหัส ถ้าการวิ่งราวทรัพย์เป็นเหตุให้ผู้อื่นถึงแก่ความตาย,-
337(1),ผู้ใดข่มขืนใจผู้อื่นให้ยอมให้หรือยอมจะให้ตนหรือผู้อื่น ได้ประโยชน์ในลักษณะที่เป็นทรัพย์สิน โดยใช้กำลังประทุษร้ายหรือ โดยขู่เข็ญว่าจะทำอันตรายต่อชีวิต ร่างกาย เสรีภาพ ชื่อเสียงหรือ ทรัพย์สินของผู้ถูกขู่เข็ญ หรือของบุคคลที่สาม จนผู้ถูกข่มขืนใจยอม เช่นว่านั้น ผู้นั้นกระทำความผิดฐานกรรโชก ขู่ว่าจะฆ่า ขู่ว่าจะทำร้ายร่างกายให้ผู้ถูกข่มขืนใจหรือผู้อื่น ให้ได้รับอันตรายสาหัส หรือขู่ว่าจะทำให้เกิดเพลิงไหม้แก่ทรัพย์ของ ผู้ถูกข่มขืนใจหรือผู้อื่น,-
337(2),ผู้ใดข่มขืนใจผู้อื่นให้ยอมให้หรือยอมจะให้ตนหรือผู้อื่น ได้ประโยชน์ในลักษณะที่เป็นทรัพย์สิน โดยใช้กำลังประทุษร้ายหรือ โดยขู่เข็ญว่าจะทำอันตรายต่อชีวิต ร่างกาย เสรีภาพ ชื่อเสียงหรือ ทรัพย์สินของผู้ถูกขู่เข็ญ หรือของบุคคลที่สาม จนผู้ถูกข่มขืนใจยอม เช่นว่านั้น ผู้นั้นกระทำความผิดฐานกรรโชก มีอาวุธติดตัวมาขู่เข็ญ,-
338,ผู้ใดข่มขืนใจผู้อื่นให้ยอมให้หรือยอมจะให้ตนหรือผู้อื่น ได้ประโยชน์ในลักษณะที่เป็นทรัพย์สิน โดยการขู่เข็ญว่าจะเปิดเผย ความลับซึ่งการเปิดเผยนั้นจะทำให้ผู้ถูกขู่เข็ญหรือบุคคลที่สามเสียหาย จนผู้ถูกข่มขืนใจยอมเช่นว่านั้น ผู้นั้นกระทำความผิดฐานรีดเอาทรัพย์,-
339(1),ผู้ใดลักทรัพย์โดยใช้กำลังประทุษร้าย หรือขู่เข็ญว่า ในทันใดนั้นจะใช้กำลังประทุษร้าย เพื่อให้ความสะดวกแก่การลักทรัพย์หรือการพาทรัพย์นั้นไป ผู้นั้นกระทำความผิดฐานชิงทรัพย์,-
339(2),ผู้ใดลักทรัพย์โดยใช้กำลังประทุษร้าย หรือขู่เข็ญว่า ในทันใดนั้นจะใช้กำลังประทุษร้าย เพื่อให้ยื่นให้ซึ่งทรัพย์นั้น ผู้นั้นกระทำความผิดฐานชิงทรัพย์,-
339(3),ผู้ใดลักทรัพย์โดยใช้กำลังประทุษร้าย หรือขู่เข็ญว่า ในทันใดนั้นจะใช้กำลังประทุษร้าย เพื่อยึดถือเอาทรัพย์นั้นไว้ ผู้นั้นกระทำความผิดฐานชิงทรัพย์,-
339(4),ผู้ใดลักทรัพย์โดยใช้กำลังประทุษร้าย หรือขู่เข็ญว่า ในทันใดนั้นจะใช้กำลังประทุษร้าย เพื่อปกปิดการกระทำความผิดนั้น ผู้นั้นกระทำความผิดฐานชิงทรัพย์,-
339(5),ผู้ใดลักทรัพย์โดยใช้กำลังประทุษร้าย หรือขู่เข็ญว่า ในทันใดนั้นจะใช้กำลังประทุษร้าย เพื่อให้พ้นจากการจับกุม ผู้นั้นกระทำความผิดฐานชิงทรัพย์,-
340,ผู้ใดชิงทรัพย์โดยร่วมกันกระทำความผิดด้วยกันตั้งแต่ สามคนขึ้นไป ผู้นั้นกระทำความผิดฐานปล้นทรัพย์ ถ้าในการปล้นทรัพย์ผู้กระทำแม้แต่คนหนึ่งคนใด มีอาวุธติดตัวไป ถ้าการปล้นทรัพย์เป็นเหตุให้ผู้อื่นรับอันตรายสาหัส ถ้าการปล้นทรัพย์ได้กระทำโดยแสดงความทารุณ จนเป็นเหตุให้ ผู้อื่นรับอันตรายแก่กายหรือจิตใจ ใช้ปืนยิง ใช้วัตถุระเบิดหรือกระทำ ทรมานผู้ ถ้าการปล้นทรัพย์เป็นเหตุให้ผู้อื่นถึงแก่ความตาย,-
340ทวิ,ถ้าการปล้นทรัพย์ได้กระทำต่อทรัพย์ตาม ผู้ใดลักทรัพย์ที่เป็นพระพุทธรูปหรือวัตถุใน ทางศาสนา ถ้าทรัพย์นั้นเป็นที่สักการะบูชาของประชาชน หรือเก็บ รักษาไว้เป็นสมบัติของชาติ หรือส่วนหนึ่งส่วนใดของพระพุทธรูป หรือวัตถุดังกล่าว,-
341,ผู้ใดโดยทุจริต หลอกลวงผู้อื่นด้วยการแสดงข้อความ อันเป็นเท็จ หรือปกปิดข้อความจริงซึ่งควรบอกให้แจ้งและโดยการหลอก ลวงดังว่านั้นได้ไปซึ่งทรัพย์สินจากผู้ถูกหลอกลวง หรือบุคคลที่สามหรือ ทำให้ผู้ถูกหลอกลวงหรือบุคคลที่สามทำ ถอนหรือทำลายเอกสารสิทธิ ผู้นั้นกระทำความผิดฐานฉ้อโกง,-
342(1),ถ้าในการกระทำความผิดฐานฉ้อโกง ผู้กระทำแสดงตนเป็นคนอื่น,-
342(2),ถ้าในการกระทำความผิดฐานฉ้อโกง อาศัยความเบาปัญญาของผู้ถูกหลอกลวงซึ่งเป็นเด็ก หรืออาศัย ความอ่อนแอทางจิตของผู้ถูกหลอกลวง,-
343,ถ้าการกระทำความผิดตาม ได้กระทำ ด้วยการแสดงข้อความอันเป็นเท็จต่อประชาชน หรือด้วยการปกปิด ความจริง ซึ่งควรบอกให้แจ้งแก่ประชาชน,-
344,ผู้ใดโดยทุจริต หลอกลวงบุคคลตั้งแต่สิบคนขึ้นไป ให้ประกอบการงานอย่างใด ๆ ให้แก่ตนหรือให้บุคคลที่สามโดยจะ ไม่ใช้ค่าแรงงานหรือค่าจ้างแก่บุคคลเหล่านั้น หรือโดยจะใช้ค่าแรงงาน หรือค่าจ้างแก่บุคคลเหล่านั้นต่ำกว่าที่ตกลงกัน ,-
345,ผู้ใดสั่งซื้อและบริโภคอาหารหรือเครื่องดื่มหรือเข้าอยู่ ในโรงแรม โดยรู้ว่าตนไม่สามารถชำระเงินค่าอาหาร ค่าเครื่องดื่ม หรือ ค่าอยู่ในโรงแรมนั้น,-
346,ผู้ใดเพื่อเอาทรัพย์สินของผู้อื่นเป็นของตนหรือของ บุคคลที่สาม ชักจูงผู้หนึ่งผู้ใดให้จำหน่ายโดยเสียเปรียบซึ่งทรัพย์สิน โดยอาศัยเหตุที่ผู้ถูกชักจูงมีจิตอ่อนแอหรือเป็นเด็กเบาปัญญา และ ไม่สามารถเข้าใจตามควรซึ่งสารสำคัญแห่งการกระทำของตน จนผู้ ถูกชักจูงจำหน่ายซึ่งทรัพย์สินนั้น,-
347,ผู้ใดเพื่อให้ตนเองหรือผู้อื่นได้รับประโยชน์จากการ ประกันวินาศภัย แกล้งทำให้เกิดเสียหายแต่ทรัพย์สินอันเป็นวัตถุที่ เอาประกันภัย,-
349,ผู้ใดเอาไปเสีย ทำให้เสียหาย ทำลาย ทำให้เสื่อมค่า หรือทำให้ไร้ประโยชน์ ซึ่งทรัพย์อันตนจำนำไว้แก่ผู้อื่น ถ้าได้กระทำ เพื่อให้เกิดความเสียหายแก่ผู้รับจำนำ,-
350,ผู้ใดเพื่อมิให้เจ้าหนี้ของตนหรือของผู้อื่นได้รับชำระ หนี้ทั้งหมดหรือแต่บางส่วน ซึ่งได้ใช้หรือจะใช้สิทธิเรียกร้องทางศาล ให้ชำระหนี้ ย้ายไปเสีย ซ่อนเร้นหรือโอนไปให้ผู้อื่นซึ่งทรัพย์ใดก็ดี แกล้งให้ตนเองเป็นหนี้จำนวนใดอันไม่เป็นความจริงก็ดี,-
352,ผู้ใดครอบครองทรัพย์ซึ่งเป็นของผู้อื่น หรือซึ่งผู้อื่น เป็นเจ้าของรวมอยู่ด้วย เบียดบังเอาทรัพย์นั้นเป็นของตนหรือบุคคล ที่สามโดยทุจริต ผู้นั้นกระทำความผิดฐานยักยอก ถ้าทรัพย์นั้นได้ตกมาอยู่ในความครอบครองของผู้กระทำความผิด เพราะผู้อื่นส่งมอบให้โดยสำคัญผิดไปด้วยประการใด หรือเป็นทรัพย์ สินหายซึ่งผู้กระทำความผิดเก็บได้,-
353,ผู้ใดได้รับมอบหมายให้จัดการทรัพย์สินของผู้อื่นหรือ ทรัพย์สินซึ่งผู้อื่นเป็นเจ้าของรวมอยู่ด้วย กระทำผิดหน้าที่ของตนด้วย ประการใด ๆ โดยทุจริต จนเป็นเหตุให้เกิดความเสียหายแก่ประโยชน์ ในลักษณะที่เป็นทรัพย์สินของผู้นั้น,-
354,ได้กระทำในฐานที่ผู้กระทำความผิดเป็นผู้จัดการทรัพย์สินของ ผู้อื่น ตามคำสั่งของศาล หรือตามพินัยกรรม หรือในฐานเป็นผู้มีอาชีพ หรือธุรกิจ อันย่อมเป็นที่ไว้วางใจของประชาชน,"352, 353"
355,ผู้ใดเก็บได้ซึ่งสังหาริมทรัพย์อันมีค่า อันซ่อนหรือฝัง ไว้โดยพฤติการณ์ซึ่งไม่มีผู้ใดอ้างว่าเป็นเจ้าของได้ แล้วเบียดบังเอา ทรัพย์นั้นเป็นของตนหรือของผู้อื่น,-
357,ผู้ใดช่วยซ่อนเร้น ช่วยจำหน่าย ช่วยพาเอาไปเสีย ซื้อ รับจำนำหรือรับไว้โดยประการใด ซึ่งทรัพย์อันได้มาโดยการกระทำความผิดถ้าความผิดนั้นเข้าลักษณะลักทรัพย์ วิ่งราวทรัพย์ กรรโชก รีด เอาทรัพย์ ชิงทรัพย์ ปล้นทรัพย์ ฉ้อโกง ยักยอกหรือ เจ้าพนักงานยักยอกทรัพย์ ผู้นั้นกระทำความผิดฐานรับของโจรต้อง ถ้าการกระทำความผิดฐานรับของโจรนั้น ได้กระทำเพื่อค้ากำไร หรือได้กระทำต่อทรัพย์อันได้มาโดยการลักทรัพย์ ชิงทรัพย์หรือปล้นทรัพย์,335(10)
358,ผู้ใดทำให้เสียหาย ทำลาย ทำให้เสื่อมค่าหรือทำให้ ไร้ประโยชน์ ซึ่งทรัพย์ของผู้อื่นหรือผู้อื่นเป็นเจ้าของรวมอยู่ด้วย ผู้นั้นกระทำความผิดฐานทำให้เสียทรัพย์,-
359(1),เครื่องกลหรือเครื่องจักรที่ใช้ในการประกอบกสิกรรม หรือ อุตสาหกรรม,358
359(2),ปศุสัตว์,358
359(3),ยวดยานหรือสัตว์พาหนะที่ใช้ในการขนส่งสาธารณ หรือในการ ประกอบกสิกรรมหรืออุตสาหกรรม,358
359(4),พืชหรือพืชผลของกสิกร,358
360,ผู้ใดทำให้เสียหาย ทำลาย ทำให้เสื่อมค่าหรือทำให้ ไร้ประโยชน์ซึ่งทรัพย์ที่ใช้หรือมีไว้เพื่อสาธารณประโยชน์,-
362,ผู้ใดเข้าไปในอสังหาริมทรัพย์ของผู้อื่นเพื่อถือการ ครอบครองอสังหาริมทรัพย์นั้นทั้งหมดหรือแต่บางส่วน หรือเข้าไป กระทำการใด ๆ อันเป็นการรบกวนการครอบครองอสังหาริมทรัพย์ ของเขาโดยปกติสุข,-
363,ผู้ใดเพื่อถือเอาอสังหาริมทรัพย์ของผู้อื่นเป็นของตน หรือของบุคคลที่สาม ยักย้ายหรือทำลายเครื่องหมายเขตแห่ง อสังหาริมทรัพย์นั้นทั้งหมดหรือแต่บางส่วน,-
364,ผู้ใดโดยไม่มีเหตุอันสมควรเข้าไป หรือซ่อนตัวอยู่ใน เคหสถาน อาคารเก็บรักษาทรัพย์หรือสำนักงานในความครอบครอง ของผู้อื่น หรือไม่ยอมออกไปจากสถานที่เช่นว่านั้น เมื่อผู้มีสิทธิที่จะ ห้ามมิให้เข้าไปได้ไล่ให้ออก,-
365(1),โดยใช้กำลังประทุษร้าย หรือขู่เข็ญว่าจะใช้กำลังประทุษร้าย,"362, 363, 364"
365(2),โดยมีอาวุธหรือโดยร่วมกระทำความผิดด้วยกันตั้งแต่สองคน ขึ้นไป,"362, 363, 364"
365(3),ในเวลากลางคืน,"362, 363, 364"